t0,b0,t1,b1,sec
214,R,0.658,R,451
451,R,0.681,R,696
696,R,0.633,R,924
924,R,0.678,R,1168
1168,R,0.756,R,1440
1440,R,0.742,R,1707
1707,R,0.683,R,1953
1953,R,0.661,R,2191
2191,R,0.572,R,2397
2397,R,0.575,R,2604
2604,R,0.617,R,2826
2826,R,0.619,R,3049
3049,R,0.642,R,3280
3280,R,0.744,R,3548
3548,R,0.669,R,3789
3789,R,0.669,R,4030
4030,R,0.689,R,4278
4278,R,0.661,R,4516
4516,R,0.661,R,4754
4754,R,0.617,R,4976
4976,R,0.619,R,5199
5199,R,0.664,R,5438
5438,R,0.672,R,5680
5680,R,0.658,R,5917
5917,R,0.678,R,6161
6161,R,0.658,R,6398
6398,R,0.644,R,6630
6630,R,0.622,R,6854
6854,R,0.658,R,7091
7091,R,0.672,R,7333
7333,R,0.658,R,7570
7570,R,0.675,R,7813
7813,R,0.708,R,8068
8068,R,0.731,R,8331
8331,R,0.667,R,8571
8571,R,0.653,R,8806
8806,R,0.675,R,9049
9049,R,0.642,R,9280
9280,R,0.628,R,9506
9506,R,0.653,R,9741
9741,R,0.697,R,9992
9992,R,0.667,R,10232
10232,R,0.683,R,10478
10478,R,0.661,R,10716
10716,R,0.631,R,10943
10943,R,0.633,R,11171
11171,R,0.642,R,11402
11402,R,0.653,R,11637
11637,R,0.642,R,11868
11868,R,0.636,R,12097
12097,R,0.661,R,12335
12335,R,0.664,R,12574
12574,R,0.653,R,12809
12809,R,0.653,R,13044
13044,R,0.644,R,13276
13276,R,0.619,R,13499
13499,R,0.644,R,13731
13731,R,0.669,R,13972
13972,R,0.689,R,14220
14220,R,0.686,R,14467
14467,R,0.722,R,14727
14727,R,0.706,R,14981
14981,R,0.675,R,15224
15224,R,0.650,R,15458
15458,R,0.669,R,15699
15699,R,0.669,R,15940
15940,R,0.658,R,16177
16177,R,0.664,R,16416
16416,R,0.703,R,16669
16669,R,0.711,R,16925
16925,R,0.669,R,17166
17166,R,0.692,R,17415
17415,R,0.683,R,17661
17661,R,0.661,R,17899
17899,R,0.608,R,18118
18118,R,0.633,R,18346
18346,R,0.681,R,18591
18591,R,0.683,R,18837
18837,R,0.675,R,19080
19080,R,0.617,R,19302
19302,R,0.594,R,19516
19516,R,0.594,R,19730
19730,R,0.572,R,19936
19936,R,0.594,R,20150
20150,R,0.656,R,20386
20386,R,0.675,R,20629
20629,R,0.697,R,20880
20880,R,0.669,R,21121
21121,R,0.672,R,21363
21363,R,0.667,R,21603
21603,R,0.631,R,21830
21830,R,0.606,R,22048
22048,R,0.600,R,22264
22264,R,0.653,R,22499
22499,R,0.728,N,22761
22761,N,0.731,N,23024
23024,N,0.700,N,23276
23276,N,0.681,N,23521
23521,N,0.692,N,23770
23770,N,0.672,N,24012
24012,N,0.675,N,24255
24255,N,0.647,N,24488
24488,N,0.639,N,24718
24718,N,0.692,N,24967
24967,N,0.733,N,25231
25231,N,0.697,N,25482
25482,N,0.678,N,25726
25726,N,0.697,N,25977
25977,N,0.683,N,26223
26223,N,0.639,N,26453
26453,N,0.661,N,26691
26691,N,0.692,N,26940
26940,N,0.689,N,27188
27188,N,0.686,N,27435
27435,N,0.711,N,27691
27691,N,0.689,N,27939
27939,N,0.664,N,28178
28178,N,0.658,N,28415
28415,N,0.653,N,28650
28650,N,0.653,N,28885
28885,N,0.650,N,29119
29119,N,0.644,N,29351
29351,N,0.664,N,29590
29590,N,0.669,N,29831
29831,N,0.692,N,30080
30080,N,0.653,N,30315
30315,N,0.633,N,30543
30543,N,0.639,N,30773
30773,N,0.619,N,30996
30996,N,0.633,N,31224
31224,N,0.669,N,31465
31465,N,0.711,N,31721
31721,N,0.694,N,31971
31971,N,0.644,N,32203
32203,N,0.622,N,32427
32427,N,0.608,N,32646
32646,N,0.619,N,32869
32869,N,0.611,N,33089
33089,N,0.622,N,33313
33313,N,0.644,N,33545
33545,N,0.667,N,33785
33785,N,0.650,N,34019
34019,N,0.672,N,34261
34261,N,0.664,N,34500
34500,N,0.639,N,34730
34730,N,0.633,N,34958
34958,N,0.642,N,35189
35189,N,0.658,N,35426
35426,N,0.644,N,35658
35658,N,0.672,N,35900
35900,N,0.703,N,36153
36153,N,0.697,N,36404
36404,N,0.617,N,36626
36626,N,0.622,N,36850
36850,N,0.608,N,37069
37069,N,0.633,N,37297
37297,N,0.656,N,37533
37533,N,0.642,N,37764
37764,N,0.686,N,38011
38011,N,0.631,N,38238
38238,N,0.611,N,38458
38458,N,0.622,R,38682
38682,R,0.625,R,38907
38907,R,0.614,R,39128
39128,R,0.614,R,39349
39349,R,0.603,R,39566
39566,R,0.669,R,39807
39807,R,0.739,N,40073
40073,N,0.756,N,40345
