t0,b0,t1,b1,sec
135,N,0.642,N,366
366,N,0.667,N,606
606,N,0.653,N,841
841,N,0.669,N,1082
1082,N,0.681,N,1327
1327,N,0.653,N,1562
1562,N,0.644,N,1794
1794,N,0.689,N,2042
2042,N,0.686,N,2289
2289,N,0.664,N,2528
2528,N,0.642,N,2759
2759,N,0.653,N,2994
2994,N,0.647,N,3227
3227,N,0.656,N,3463
3463,N,0.669,N,3704
3704,N,0.650,N,3938
3938,N,0.633,N,4166
4166,N,0.650,N,4400
4400,N,0.683,N,4646
4646,N,0.650,N,4880
4880,N,0.633,N,5108
5108,N,0.642,N,5339
5339,N,0.647,N,5572
5572,N,0.647,N,5805
5805,N,0.642,N,6036
6036,N,0.653,N,6271
6271,N,0.653,N,6506
6506,N,0.639,N,6736
6736,N,0.661,N,6974
6974,N,0.656,N,7210
7210,N,0.653,N,7445
7445,N,0.642,N,7676
7676,N,0.647,N,7909
7909,N,0.647,N,8142
8142,N,0.661,N,8380
8380,N,0.672,N,8622
8622,N,0.639,N,8852
8852,N,0.644,N,9084
9084,N,0.661,N,9322
9322,N,0.683,N,9568
9568,N,0.658,N,9805
9805,N,0.636,N,10034
10034,N,0.644,N,10266
10266,N,0.658,N,10503
10503,N,0.661,N,10741
10741,N,0.669,N,10982
10982,N,0.636,N,11211
11211,N,0.639,N,11441
11441,N,0.644,N,11673
11673,N,0.672,N,11915
11915,N,0.644,N,12147
12147,N,0.642,N,12378
12378,N,0.639,N,12608
12608,N,0.656,N,12844
12844,N,0.636,N,13073
13073,N,0.658,N,13310
13310,N,0.656,N,13546
13546,N,0.650,N,13780
13780,N,0.636,N,14009
14009,N,0.669,N,14250
14250,N,0.664,N,14489
14489,N,0.650,N,14723
14723,N,0.636,N,14952
14952,N,0.647,N,15185
15185,N,0.639,N,15415
15415,N,0.656,N,15651
15651,N,0.669,N,15892
15892,N,0.633,N,16120
16120,N,0.633,N,16348
16348,N,0.647,N,16581
16581,N,0.683,N,16827
16827,N,0.647,N,17060
17060,N,0.633,N,17288
17288,N,0.639,N,17518
17518,N,0.658,N,17755
17755,N,0.658,N,17992
17992,N,0.661,N,18230
18230,N,0.647,N,18463
18463,N,0.650,N,18697
18697,N,0.639,N,18927
18927,N,0.678,N,19171
19171,N,0.647,N,19404
19404,N,0.647,N,19637
19637,N,0.628,N,19863
19863,N,0.642,N,20094
20094,N,0.628,N,20320
20320,N,0.647,N,20553
20553,N,0.644,N,20785
