t0,b0,t1,b1,sec
160,N,0.758,N,433
433,N,0.814,N,726
726,N,0.931,N,1061
1061,N,0.847,N,1366
1366,N,0.792,N,1651
1651,N,0.789,N,1935
1935,N,0.800,N,2223
2223,N,0.767,N,2499
2499,N,0.817,N,2793
2793,N,0.836,N,3094
3094,N,0.856,N,3402
3402,N,0.811,N,3694
3694,N,0.811,N,3986
3986,N,0.803,N,4275
4275,N,0.742,N,4542
4542,N,0.772,N,4820
4820,N,0.794,N,5106
5106,N,0.933,N,5442
5442,N,0.947,N,5783
5783,N,0.839,N,6085
6085,N,0.594,V,6299
6299,V,0.933,N,6635
6635,N,0.522,V,6823
6823,V,1.039,N,7197
7197,N,0.606,V,7415
7415,V,1.139,N,7825
7825,N,0.558,V,8026
8026,V,1.022,N,8394
8394,N,0.522,V,8582
8582,V,0.969,N,8931
8931,N,0.553,V,9130
9130,V,1.039,N,9504
9504,N,0.572,V,9710
9710,V,1.078,N,10098
10098,N,0.578,V,10306
10306,V,0.972,N,10656
10656,N,0.522,V,10844
10844,V,0.986,N,11199
11199,N,0.536,V,11392
11392,V,1.067,N,11776
11776,N,0.600,V,11992
11992,V,1.144,N,12404
12404,N,0.858,N,12713
12713,N,0.831,N,13012
13012,N,0.764,N,13287
13287,N,0.797,N,13574
13574,N,0.894,N,13896
13896,N,0.947,N,14237
14237,N,0.919,N,14568
14568,N,0.914,N,14897
14897,N,0.814,N,15190
15190,N,0.764,N,15465
15465,N,0.806,N,15755
15755,N,0.967,N,16103
16103,N,1.042,N,16478
16478,N,0.958,N,16823
16823,N,0.806,N,17113
17113,N,0.781,N,17394
17394,N,0.794,N,17680
17680,N,0.878,N,17996
17996,N,1.017,N,18362
18362,N,0.911,V,18690
18690,V,1.208,N,19125
19125,N,0.786,N,19408
19408,N,0.794,N,19694
19694,N,0.581,V,19903
19903,V,0.706,V,20157
20157,V,1.644,N,20749
20749,N,1.036,N,21122
21122,N,0.878,N,21438
21438,N,0.753,N,21709
21709,N,0.803,N,21998
21998,N,0.858,N,22307
22307,N,0.889,N,22627
22627,N,0.647,V,22860
22860,V,1.178,N,23284
23284,N,0.883,N,23602
23602,N,0.806,N,23892
23892,N,0.511,V,24076
24076,V,1.100,N,24472
24472,N,0.572,V,24678
24678,V,1.200,N,25110
25110,N,0.864,N,25421
25421,N,0.869,N,25734
25734,N,0.797,N,26021
26021,N,0.783,N,26303
26303,N,0.783,N,26585
26585,N,0.839,N,26887
26887,N,0.936,N,27224
27224,N,0.922,N,27556
27556,N,0.928,N,27890
27890,N,0.775,N,28169
28169,N,0.783,N,28451
28451,N,0.792,N,28736
28736,N,0.831,N,29035
29035,N,0.883,N,29353
29353,N,0.847,N,29658
29658,N,0.592,V,29871
29871,V,1.042,N,30246
30246,N,0.797,N,30533
30533,N,0.819,N,30828
30828,N,0.831,N,31127
31127,N,0.847,N,31432
31432,N,0.842,N,31735
31735,N,0.569,V,31940
31940,V,1.078,N,32328
32328,N,0.508,V,32511
32511,V,1.053,N,32890
32890,N,0.808,N,33181
33181,N,0.831,N,33480
33480,N,0.556,V,33680
33680,V,1.214,N,34117
34117,N,0.603,V,34334
34334,V,1.075,N,34721
34721,N,0.519,V,34908
34908,V,1.064,N,35291
35291,N,0.581,V,35500
35500,V,1.214,N,35937
35937,N,0.686,V,36184
36184,V,1.150,N,36598
36598,N,0.575,V,36805
36805,V,1.050,N,37183
37183,N,0.647,V,37416
37416,V,1.292,N,37881
37881,N,0.731,V,38144
38144,V,1.239,N,38590
38590,N,0.586,V,38801
38801,V,1.025,N,39170
39170,N,0.558,V,39371
39371,V,1.297,N,39838
39838,N,0.753,V,40109
40109,V,1.275,N,40568
40568,N,0.664,V,40807
40807,V,1.142,N,41218
41218,N,0.961,N,41564
41564,N,1.206,N,41998
41998,N,1.142,N,42409
42409,N,0.981,N,42762
42762,N,0.894,N,43084
43084,N,0.847,N,43389
43389,N,0.872,N,43703
43703,N,1.036,N,44076
44076,N,1.089,N,44468
44468,N,0.942,N,44807
44807,N,0.850,N,45113
45113,N,0.842,N,45416
45416,N,0.883,N,45734
45734,N,0.892,N,46055
46055,N,0.956,N,46399
46399,N,0.675,V,46642
46642,V,1.183,N,47068
47068,N,0.578,V,47276
47276,V,1.033,N,47648
47648,N,0.642,V,47879
47879,V,1.047,N,48256
48256,N,0.867,N,48568
48568,N,0.919,N,48899
48899,N,0.892,N,49220
49220,N,0.831,N,49519
49519,N,0.753,N,49790
49790,N,0.792,N,50075
50075,N,0.831,N,50374
50374,N,0.825,N,50671
50671,N,0.900,N,50995
50995,N,0.886,N,51314
51314,N,0.836,N,51615
51615,N,0.753,N,51886
51886,N,0.550,V,52084
52084,V,1.100,N,52480
52480,N,0.581,V,52689
52689,V,1.181,N,53114
53114,N,0.569,V,53319
53319,V,1.125,N,53724
53724,N,0.792,N,54009
54009,N,0.794,N,54295
54295,N,0.625,V,54520
54520,V,1.156,N,54936
54936,N,0.900,N,55260
55260,N,0.844,N,55564
55564,N,0.867,N,55876
55876,N,0.847,N,56181
56181,N,0.572,V,56387
56387,V,0.994,N,56745
56745,N,0.783,N,57027
57027,N,0.803,N,57316
57316,N,0.806,N,57606
57606,N,0.619,V,57829
57829,V,1.000,N,58189
58189,N,0.744,N,58457
58457,N,0.742,N,58724
58724,N,0.564,V,58927
58927,V,1.117,N,59329
59329,N,0.922,N,59661
59661,N,0.911,N,59989
59989,N,0.808,N,60280
60280,N,0.767,N,60556
60556,N,0.531,V,60747
60747,V,1.025,N,61116
61116,N,0.614,V,61337
61337,V,1.250,N,61787
61787,N,0.942,N,62126
62126,N,0.836,N,62427
62427,N,0.772,N,62705
62705,N,0.797,N,62992
62992,N,0.856,N,63300
63300,N,1.039,N,63674
63674,N,0.917,N,64004
64004,N,0.897,N,64327
64327,N,0.856,N,64635
64635,N,0.806,N,64925
64925,N,0.828,N,65223
65223,N,0.969,N,65572
65572,N,0.817,V,65866
65866,V,1.111,N,66266
66266,N,0.928,N,66600
66600,N,0.886,N,66919
66919,N,0.819,N,67214
67214,N,0.878,N,67530
67530,N,0.947,N,67871
67871,N,1.000,N,68231
68231,N,0.872,N,68545
68545,N,0.883,N,68863
68863,N,0.825,N,69160
69160,N,0.792,N,69445
69445,N,0.583,V,69655
69655,V,1.131,N,70062
70062,N,0.969,N,70411
70411,N,0.942,N,70750
70750,N,0.858,N,71059
71059,N,0.767,N,71335
71335,N,0.769,N,71612
71612,N,0.839,N,71914
71914,N,0.822,N,72210
72210,N,0.739,V,72476
72476,V,1.108,N,72875
72875,N,0.842,N,73178
73178,N,0.775,N,73457
73457,N,0.756,N,73729
73729,N,0.836,N,74030
74030,N,0.889,N,74350
74350,N,0.983,N,74704
74704,N,0.728,V,74966
74966,V,1.061,N,75348
75348,N,0.786,N,75631
75631,N,0.778,N,75911
75911,N,0.817,N,76205
76205,N,0.933,N,76541
76541,N,0.953,N,76884
76884,N,0.908,N,77211
77211,N,0.844,N,77515
77515,N,0.831,N,77814
77814,N,0.547,V,78011
78011,V,1.050,N,78389
78389,N,0.558,V,78590
78590,V,1.142,N,79001
79001,N,0.858,N,79310
79310,N,0.842,N,79613
79613,N,0.536,V,79806
79806,V,0.958,N,80151
80151,N,0.803,N,80440
80440,N,0.789,N,80724
80724,N,0.886,N,81043
81043,N,0.964,N,81390
81390,N,0.936,N,81727
81727,N,0.781,N,82008
82008,N,0.733,N,82272
82272,N,0.542,V,82467
82467,V,1.083,N,82857
82857,N,0.614,V,83078
83078,V,1.242,N,83525
83525,N,0.953,N,83868
83868,N,0.803,N,84157
84157,N,0.750,N,84427
84427,N,0.864,N,84738
84738,N,0.639,V,84968
84968,V,1.208,N,85403
85403,N,0.867,N,85715
85715,N,0.897,N,86038
86038,N,0.772,N,86316
86316,N,0.753,N,86587
86587,N,0.817,N,86881
86881,N,0.853,N,87188
87188,N,0.950,N,87530
87530,N,0.925,N,87863
87863,N,1.003,N,88224
88224,N,0.989,N,88580
88580,N,0.844,N,88884
88884,N,0.853,N,89191
89191,N,0.928,N,89525
89525,N,0.983,N,89879
89879,N,0.953,N,90222
90222,N,0.778,V,90502
90502,V,1.181,N,90927
90927,N,0.850,N,91233
91233,N,0.861,N,91543
91543,N,0.928,N,91877
91877,N,0.992,N,92234
92234,N,0.931,N,92569
92569,N,0.911,N,92897
92897,N,0.817,N,93191
93191,N,0.819,N,93486
93486,N,0.811,N,93778
93778,N,0.858,N,94087
94087,N,0.886,N,94406
94406,N,0.833,N,94706
94706,N,0.803,N,94995
94995,N,0.792,N,95280
95280,N,0.825,N,95577
95577,N,0.608,V,95796
95796,V,1.150,N,96210
96210,N,0.853,N,96517
96517,N,0.808,N,96808
96808,N,0.794,N,97094
97094,N,0.811,N,97386
97386,N,0.808,N,97677
97677,N,0.831,N,97976
97976,N,0.894,N,98298
98298,N,0.831,N,98597
98597,N,0.836,N,98898
98898,N,0.836,N,99199
99199,N,0.811,N,99491
99491,N,0.575,V,99698
99698,V,1.017,N,100064
100064,N,0.672,V,100306
100306,V,1.100,N,100702
100702,N,0.878,N,101018
101018,N,0.861,N,101328
101328,N,0.775,N,101607
101607,N,0.769,N,101884
101884,N,0.775,N,102163
102163,N,0.853,N,102470
102470,N,0.858,N,102779
102779,N,0.881,N,103096
103096,N,0.806,N,103386
103386,N,0.769,N,103663
103663,N,0.761,N,103937
103937,N,0.794,N,104223
104223,N,0.881,N,104540
104540,N,0.889,N,104860
104860,N,0.839,N,105162
105162,N,0.803,N,105451
105451,N,0.564,V,105654
105654,V,1.092,N,106047
106047,N,0.853,N,106354
106354,N,0.828,N,106652
106652,N,0.906,N,106978
106978,N,0.867,N,107290
107290,N,0.542,V,107485
107485,V,1.122,N,107889
107889,N,0.806,N,108179
108179,N,0.839,N,108481
108481,N,0.806,N,108771
108771,N,0.886,N,109090
109090,N,0.892,N,109411
109411,N,0.603,V,109628
109628,V,1.039,N,110002
110002,N,0.517,V,110188
110188,V,1.056,N,110568
110568,N,0.831,N,110867
110867,N,0.881,N,111184
111184,N,0.947,N,111525
111525,N,0.869,N,111838
111838,N,0.819,N,112133
112133,N,0.725,N,112394
112394,N,0.789,N,112678
112678,N,0.906,N,113004
113004,N,0.856,N,113312
113312,N,0.858,N,113621
113621,N,0.831,N,113920
113920,N,0.814,N,114213
114213,N,0.731,N,114476
114476,N,0.758,N,114749
114749,N,0.872,N,115063
115063,N,0.897,N,115386
115386,N,0.875,N,115701
115701,N,0.825,N,115998
115998,N,0.839,N,116300
116300,N,0.817,N,116594
