t0,b0,t1,b1,sec
265,N,0.861,N,575
575,N,0.836,N,876
876,N,0.844,N,1180
1180,N,0.839,N,1482
1482,N,0.869,N,1795
1795,N,0.922,N,2127
2127,N,0.881,N,2444
2444,N,0.833,N,2744
2744,N,0.833,N,3044
3044,N,0.842,N,3347
3347,N,0.833,N,3647
3647,N,0.853,N,3954
3954,N,0.911,N,4282
4282,N,0.908,N,4609
4609,N,0.917,N,4939
4939,N,0.878,N,5255
5255,N,0.903,N,5580
5580,N,0.867,N,5892
5892,N,0.900,N,6216
6216,N,0.936,N,6553
6553,N,0.889,N,6873
6873,N,0.847,N,7178
7178,N,0.842,N,7481
7481,N,0.833,N,7781
7781,N,0.878,N,8097
8097,N,0.889,N,8417
8417,N,0.894,N,8739
8739,N,0.892,N,9060
9060,N,0.836,N,9361
9361,N,0.839,N,9663
9663,N,0.833,N,9963
9963,N,0.878,N,10279
10279,N,0.883,N,10597
10597,N,0.869,N,10910
10910,N,0.869,N,11223
11223,N,0.825,N,11520
11520,N,0.786,N,11803
11803,N,0.817,N,12097
12097,N,0.828,N,12395
12395,N,0.842,N,12698
12698,N,0.842,N,13001
13001,N,0.831,N,13300
13300,N,0.828,N,13598
13598,N,0.800,N,13886
13886,N,0.786,N,14169
14169,N,0.811,N,14461
14461,N,0.856,N,14769
14769,N,0.869,N,15082
15082,N,0.836,N,15383
15383,N,0.833,N,15683
15683,N,0.817,N,15977
15977,N,0.811,N,16269
16269,N,0.850,N,16575
16575,N,0.864,N,16886
16886,N,0.925,N,17219
17219,N,0.881,N,17536
17536,N,0.836,N,17837
17837,N,0.858,N,18146
18146,N,0.831,N,18445
18445,N,0.817,N,18739
18739,N,0.858,N,19048
19048,N,0.883,N,19366
19366,N,0.894,N,19688
19688,N,0.839,N,19990
19990,N,0.822,N,20286
20286,N,0.853,N,20593
20593,N,0.833,N,20893
20893,N,0.853,N,21200
21200,N,0.881,N,21517
21517,N,0.889,N,21837
21837,N,0.831,N,22136
22136,N,0.797,N,22423
22423,N,0.844,N,22727
22727,N,0.831,N,23026
23026,N,0.836,N,23327
23327,N,0.867,N,23639
23639,N,0.878,N,23955
23955,N,0.869,N,24268
24268,N,0.814,N,24561
24561,N,0.831,N,24860
24860,N,0.847,N,25165
25165,N,0.833,N,25465
25465,N,0.856,N,25773
25773,N,0.858,N,26082
26082,N,0.853,N,26389
26389,N,0.819,N,26684
26684,N,0.806,N,26974
26974,N,0.828,N,27272
27272,N,0.839,N,27574
27574,N,0.833,N,27874
27874,N,0.867,N,28186
28186,N,0.847,N,28491
28491,N,0.814,N,28784
28784,N,0.778,N,29064
29064,N,0.778,N,29344
29344,N,0.850,N,29650
29650,N,0.847,N,29955
29955,N,0.844,N,30259
