t0,b0,t1,b1,sec
99,N,0.922,N,431
431,N,0.636,N,660
660,N,0.561,N,862
862,N,0.389,N,1002
1002,N,0.744,N,1270
1270,N,0.592,N,1483
1483,N,0.656,N,1719
1719,N,0.431,N,1874
1874,N,0.633,N,2102
2102,N,0.414,V,2251
2251,V,0.325,V,2368
2368,V,0.417,N,2518
2518,N,0.392,N,2659
2659,N,0.369,N,2792
2792,N,0.392,N,2933
2933,N,0.542,N,3128
3128,N,0.569,N,3333
3333,N,0.364,N,3464
3464,N,0.694,N,3714
3714,N,0.386,V,3853
3853,V,0.389,N,3993
3993,N,0.675,N,4236
4236,N,0.844,V,4540
4540,V,0.506,N,4722
4722,N,0.381,N,4859
4859,N,0.619,N,5082
5082,N,0.458,N,5247
5247,N,0.519,N,5434
5434,N,0.597,N,5649
5649,N,0.403,N,5794
5794,N,0.656,N,6030
6030,N,0.472,N,6200
6200,N,0.650,N,6434
6434,N,0.769,N,6711
6711,N,0.647,N,6944
6944,N,0.931,N,7279
7279,N,0.856,N,7587
7587,N,0.453,N,7750
7750,N,0.367,N,7882
7882,N,0.756,N,8154
8154,N,0.439,N,8312
8312,N,0.636,N,8541
8541,N,0.931,N,8876
8876,N,0.661,N,9114
9114,N,0.500,N,9294
9294,N,0.383,N,9432
9432,N,0.667,N,9672
9672,N,0.775,N,9951
9951,N,0.603,N,10168
10168,N,0.914,N,10497
10497,N,0.925,N,10830
10830,N,0.697,N,11081
11081,N,0.725,N,11342
11342,N,0.864,N,11653
11653,N,0.569,N,11858
11858,N,0.444,N,12018
12018,N,0.719,N,12277
12277,N,0.692,N,12526
12526,N,0.636,N,12755
12755,N,0.656,N,12991
12991,N,0.575,N,13198
13198,N,0.950,N,13540
13540,N,0.658,N,13777
13777,N,0.661,N,14015
14015,N,0.764,N,14290
14290,N,0.831,N,14589
14589,N,0.547,N,14786
14786,N,0.389,N,14926
14926,N,0.881,N,15243
15243,N,0.533,N,15435
15435,N,0.542,N,15630
15630,N,0.833,N,15930
15930,N,0.386,V,16069
16069,V,0.658,N,16306
16306,N,0.814,N,16599
16599,N,0.353,V,16726
16726,V,0.367,V,16858
16858,V,0.328,V,16976
16976,V,0.828,N,17274
17274,N,0.431,V,17429
17429,V,0.617,N,17651
17651,N,0.753,N,17922
17922,N,0.853,N,18229
18229,N,0.569,N,18434
18434,N,0.575,N,18641
18641,N,0.750,N,18911
18911,N,0.569,N,19116
19116,N,0.397,N,19259
19259,N,0.372,N,19393
19393,N,0.969,N,19742
19742,N,0.422,V,19894
19894,V,0.575,N,20101
20101,N,0.539,N,20295
20295,N,0.442,N,20454
20454,N,0.356,N,20582
20582,N,0.353,N,20709
20709,N,0.525,N,20898
20898,N,0.375,N,21033
21033,N,0.347,N,21158
21158,N,0.336,N,21279
21279,N,0.358,N,21408
21408,N,0.828,N,21706
21706,N,0.431,V,21861
21861,V,0.314,V,21974
21974,V,0.461,N,22140
22140,N,0.328,V,22258
22258,V,0.361,N,22388
22388,N,0.350,N,22514
22514,N,0.378,N,22650
22650,N,0.328,N,22768
22768,N,0.322,N,22884
22884,N,1.053,N,23263
23263,N,0.372,V,23397
23397,V,0.678,N,23641
23641,N,0.358,V,23770
23770,V,0.844,N,24074
24074,N,0.422,N,24226
24226,N,0.378,N,24362
24362,N,0.356,N,24490
24490,N,0.653,N,24725
24725,N,0.442,N,24884
24884,N,0.328,N,25002
25002,N,0.831,N,25301
25301,N,0.389,V,25441
25441,V,0.647,N,25674
25674,N,0.908,N,26001
26001,N,0.833,N,26301
26301,N,0.411,V,26449
26449,V,0.392,V,26590
26590,V,0.639,N,26820
26820,N,0.425,N,26973
26973,N,0.678,N,27217
27217,N,0.836,N,27518
27518,N,0.861,N,27828
