,0
0,-0.03384802020294852
1,-0.03242252692352586
2,-0.03064985746840971
3,-0.028371736274431254
4,-0.02596396134548721
5,-0.024573433271357893
6,-0.025739077986976805
7,-0.030300484673812127
8,-0.03729692333561413
9,-0.04391106184112041
10,-0.046875730375393956
11,-0.0445445434494512
12,-0.038101619868327025
13,-0.030902411436813274
14,-0.026362128162273034
15,-0.02595906462420308
16,-0.028797232769546956
17,-0.032863521991063724
18,-0.036738534251075844
19,-0.04025530690744669
20,-0.043664561816779024
21,-0.04631029917353363
22,-0.04633959589129454
23,-0.042044906175542976
24,-0.033830465040847676
25,-0.024960025290896817
26,-0.020050856738449314
27,-0.02216838422687347
28,-0.030721755206932197
29,-0.04187847876325837
30,-0.05119150335082916
31,-0.05630373663006154
32,-0.05762685250523249
33,-0.05678257256633221
34,-0.05459305542234109
35,-0.05062740665606587
36,-0.04457839725659152
37,-0.037813121428837006
38,-0.033258927853916945
39,-0.03351521400863425
40,-0.03892393750766031
41,-0.04738662195606134
42,-0.05597037016614072
43,-0.06266823057347964
44,-0.06679832288944541
45,-0.06817839806112919
46,-0.06647884059840953
47,-0.06164247618089101
48,-0.05467656273722313
49,-0.04745221786717771
50,-0.04130472276238908
51,-0.035897356112226955
52,-0.02988079522275893
53,-0.02296950083615228
54,-0.017189714884167602
55,-0.015520083956778962
56,-0.01881309867051844
57,-0.024032997305610877
58,-0.02597256680126719
59,-0.02128336825740984
60,-0.011181533236947636
61,-0.0002503481835010758
62,0.00753199232807426
63,0.011747307372248324
64,0.01478908498857865
65,0.018478140149627228
66,0.02167023227099705
67,0.02127479079779116
68,0.015479463267612428
69,0.005752766377776758
70,-0.0043773712092664355
71,-0.012328161367920754
72,-0.018045203293602236
73,-0.022686166776893592
74,-0.026191373833277243
75,-0.02676460845855253
76,-0.0231425851491081
77,-0.017292471977348442
78,-0.014334336778187637
79,-0.019058498095993574
80,-0.03186494235145851
81,-0.047815837171684986
82,-0.05985598586177642
83,-0.06362782864645791
84,-0.06005384560042723
85,-0.0539552529727371
86,-0.05028424142450631
87,-0.05109941893857751
88,-0.05520392728832758
89,-0.05994226376274686
90,-0.06326257892917173
91,-0.06461147195579495
92,-0.0645676583678243
93,-0.06396741392532905
94,-0.06322323836600036
95,-0.062129511453063176
96,-0.06019848962048767
97,-0.05739909429012938
98,-0.054839347459431684
99,-0.05468988480832118
100,-0.05903039637780669
101,-0.06829560823870418
102,-0.08067621384319298
103,-0.09324723017777473
104,-0.10402021922869846
105,-0.11307150980381458
106,-0.121652849976086
107,-0.13020960931088882
108,-0.13747165684354312
109,-0.14177035954117218
110,-0.14331700559500665
111,-0.14486491266696255
112,-0.14953674877918458
113,-0.15742847372196236
114,-0.16399834389447857
115,-0.16165898802289658
116,-0.14298976702951133
117,-0.1027382520050838
118,-0.03762672459755273
119,0.054135101663952245
120,0.1711558106959508
121,0.3051839015525233
122,0.43883168846772697
123,0.5481468638770903
124,0.6098252150172897
125,0.608874561455012
126,0.542201397525486
127,0.4172701644777422
128,0.2489284445099908
129,0.05769023047435361
130,-0.13076751777987017
131,-0.28829151348792015
132,-0.3913851499893931
133,-0.4302472056875952
134,-0.4134956993256519
135,-0.36400587507450927
136,-0.30749176632483466
137,-0.2609426014122914
138,-0.22796879491153949
139,-0.2026572102052715
140,-0.17748498563641704
141,-0.14908522617733266
142,-0.11887505858475927
143,-0.09017897544710524
144,-0.06546711706881364
145,-0.045768419317908836
