,ECG,PPG
0,-0.062,0.537
1,-0.062,0.537
2,-0.030,0.537
3,-0.062,0.537
4,-0.062,0.530
5,-0.062,0.530
6,-0.062,0.530
7,-0.062,0.530
8,-0.030,0.518
9,-0.030,0.518
10,-0.030,0.518
11,-0.030,0.518
12,0.003,0.498
13,0.003,0.498
14,0.003,0.498
15,0.003,0.498
16,0.003,0.473
17,0.003,0.473
18,0.003,0.473
19,-0.030,0.473
20,-0.030,0.448
21,-0.062,0.448
22,-0.062,0.448
23,-0.062,0.448
24,-0.030,0.403
25,-0.030,0.403
26,-0.030,0.403
27,-0.030,0.403
28,-0.030,0.371
29,-0.030,0.371
30,-0.062,0.371
31,-0.030,0.371
32,-0.030,0.339
33,-0.030,0.339
34,-0.030,0.339
35,-0.030,0.339
36,-0.062,0.294
37,-0.062,0.294
38,-0.062,0.294
39,-0.062,0.294
40,-0.062,0.256
41,-0.062,0.256
42,-0.095,0.256
43,-0.095,0.256
44,-0.095,0.211
45,-0.128,0.211
46,-0.095,0.211
47,-0.095,0.211
48,-0.062,0.167
49,-0.062,0.167
50,-0.062,0.167
51,-0.095,0.167
52,-0.062,0.135
53,-0.062,0.135
54,-0.062,0.135
55,-0.062,0.135
56,-0.062,0.102
57,-0.095,0.102
58,-0.095,0.102
59,-0.095,0.102
60,-0.062,0.064
61,-0.062,0.064
62,-0.062,0.064
63,-0.095,0.064
64,-0.095,0.038
65,-0.095,0.038
66,-0.062,0.038
67,-0.062,0.038
68,-0.030,0.013
69,-0.030,0.013
70,-0.030,0.013
71,0.003,0.013
72,0.003,-0.013
73,0.034,-0.013
74,0.099,-0.013
75,0.165,-0.013
76,0.230,-0.025
77,0.328,-0.025
78,0.426,-0.025
79,0.522,-0.025
80,0.620,-0.044
81,0.620,-0.044
82,0.620,-0.044
83,0.522,-0.044
84,0.361,-0.058
85,0.230,-0.058
86,0.099,-0.058
87,0.034,-0.058
88,0.003,-0.076
89,0.003,-0.076
90,-0.030,-0.076
91,-0.095,-0.076
92,-0.193,-0.089
93,-0.258,-0.089
94,-0.323,-0.089
95,-0.323,-0.089
96,-0.323,-0.108
97,-0.323,-0.108
98,-0.291,-0.108
99,-0.226,-0.108
100,-0.193,-0.121
101,-0.128,-0.121
102,-0.095,-0.121
103,-0.062,-0.121
104,-0.062,-0.134
105,-0.030,-0.134
106,-0.030,-0.134
107,-0.030,-0.134
108,-0.030,-0.147
109,-0.062,-0.147
110,-0.062,-0.147
111,-0.095,-0.147
112,-0.062,-0.196
113,-0.095,-0.196
114,-0.095,-0.196
115,-0.095,-0.196
116,-0.095,-0.208
117,-0.095,-0.208
118,-0.095,-0.208
119,-0.095,-0.208
120,-0.095,-0.214
121,-0.095,-0.214
122,-0.095,-0.214
123,-0.095,-0.214
124,-0.062,-0.221
125,-0.095,-0.221
126,-0.095,-0.221
127,-0.095,-0.221
128,-0.095,-0.227
129,-0.128,-0.227
130,-0.128,-0.227
131,-0.128,-0.227
132,-0.128,-0.246
133,-0.095,-0.246
134,-0.095,-0.246
135,-0.128,-0.246
136,-0.128,-0.253
137,-0.128,-0.253
138,-0.160,-0.253
139,-0.128,-0.253
140,-0.128,-0.265
141,-0.128,-0.265
142,-0.095,-0.265
143,-0.095,-0.265
144,-0.095,-0.265
145,-0.095,-0.265
146,-0.095,-0.265
147,-0.095,-0.265
148,-0.095,-0.278
149,-0.095,-0.278
150,-0.095,-0.278
151,-0.095,-0.278
152,-0.095,-0.290
153,-0.062,-0.290
154,-0.062,-0.290
155,-0.062,-0.290
156,-0.030,-0.303
157,-0.062,-0.303
158,-0.062,-0.303
159,-0.030,-0.303
160,-0.030,-0.303
161,-0.030,-0.303
162,0.003,-0.303
163,0.003,-0.303
164,0.003,-0.316
165,0.003,-0.316
166,0.003,-0.316
167,0.034,-0.316
168,0.034,-0.328
169,0.034,-0.328
170,0.067,-0.328
171,0.067,-0.328
172,0.067,-0.341
173,0.099,-0.341
174,0.099,-0.341
175,0.132,-0.341
176,0.132,-0.341
177,0.165,-0.341
178,0.165,-0.341
179,0.165,-0.341
180,0.197,-0.353
181,0.197,-0.353
182,0.197,-0.353
183,0.230,-0.353
184,0.230,-0.359
185,0.263,-0.359
186,0.295,-0.359
187,0.295,-0.359
188,0.295,-0.366
189,0.295,-0.366
190,0.328,-0.366
191,0.328,-0.366
192,0.295,-0.353
193,0.295,-0.353
194,0.295,-0.353
195,0.263,-0.353
196,0.263,-0.353
197,0.263,-0.353
198,0.230,-0.353
199,0.230,-0.353
200,0.197,-0.341
201,0.197,-0.341
202,0.165,-0.341
203,0.132,-0.341
204,0.099,-0.303
205,0.099,-0.303
206,0.099,-0.303
207,0.099,-0.303
208,0.067,-0.272
209,0.067,-0.272
210,0.034,-0.272
211,0.034,-0.272
212,0.003,-0.221
213,0.003,-0.221
214,0.003,-0.221
215,-0.030,-0.221
216,-0.030,-0.158
217,-0.030,-0.158
218,-0.030,-0.158
219,-0.030,-0.158
220,-0.062,-0.088
221,-0.062,-0.088
222,-0.095,-0.088
223,-0.095,-0.088
224,-0.095,-0.006
225,-0.095,-0.006
226,-0.128,-0.006
227,-0.128,-0.006
228,-0.128,0.076
229,-0.128,0.076
230,-0.128,0.076
231,-0.160,0.076
232,-0.128,0.151
233,-0.128,0.151
234,-0.128,0.151
235,-0.128,0.151
236,-0.128,0.234
237,-0.128,0.234
238,-0.128,0.234
239,-0.128,0.234
240,-0.128,0.303
241,-0.128,0.303
242,-0.128,0.303
243,-0.128,0.303
244,-0.128,0.366
245,-0.095,0.366
246,-0.128,0.366
247,-0.128,0.366
248,-0.128,0.417
249,-0.095,0.417
250,-0.128,0.417
251,-0.095,0.417
252,-0.095,0.455
253,-0.095,0.455
254,-0.095,0.455
255,-0.095,0.455
256,-0.095,0.492
257,-0.095,0.492
258,-0.095,0.492
259,-0.128,0.492
260,-0.128,0.511
261,-0.128,0.511
262,-0.128,0.511
263,-0.095,0.511
264,-0.095,0.524
265,-0.095,0.524
266,-0.095,0.524
267,-0.062,0.524
268,-0.062,0.530
269,-0.062,0.530
270,-0.030,0.530
271,-0.030,0.530
272,-0.030,0.524
273,-0.030,0.524
274,-0.030,0.524
275,-0.030,0.524
276,-0.062,0.518
277,-0.062,0.518
278,-0.062,0.518
279,-0.062,0.518
280,-0.062,0.505
281,-0.062,0.505
282,-0.095,0.505
283,-0.095,0.505
284,-0.062,0.480
285,-0.062,0.480
286,-0.062,0.480
287,-0.095,0.480
288,-0.095,0.461
289,-0.095,0.461
290,-0.095,0.461
291,-0.095,0.461
292,-0.095,0.435
293,-0.095,0.435
294,-0.095,0.435
