,ECG,PPG
0,0.001,-0.178
1,0.004,-0.178
2,0.007,-0.178
3,0.011,-0.178
4,0.013,-0.172
5,0.015,-0.172
6,0.015,-0.172
7,0.016,-0.172
8,0.016,-0.161
9,0.017,-0.161
10,0.019,-0.161
11,0.021,-0.161
12,0.023,-0.138
13,0.026,-0.138
14,0.030,-0.138
15,0.035,-0.138
16,0.040,-0.120
17,0.045,-0.120
18,0.048,-0.120
19,0.052,-0.120
20,0.055,-0.098
21,0.058,-0.098
22,0.060,-0.098
23,0.062,-0.098
24,0.064,-0.074
25,0.065,-0.074
26,0.066,-0.074
27,0.067,-0.074
28,0.066,-0.046
29,0.065,-0.046
30,0.064,-0.046
31,0.062,-0.046
32,0.060,-0.005
33,0.057,-0.005
34,0.054,-0.005
35,0.051,-0.005
36,0.046,0.029
37,0.042,0.029
38,0.036,0.029
39,0.030,0.029
40,0.025,0.064
41,0.021,0.064
42,0.018,0.064
43,0.015,0.064
44,0.012,0.098
45,0.010,0.098
46,0.008,0.098
47,0.006,0.098
48,0.004,0.133
49,0.002,0.133
50,0.000,0.133
51,-0.001,0.133
52,-0.003,0.155
53,-0.005,0.155
54,-0.006,0.155
55,-0.008,0.155
56,-0.010,0.190
57,-0.012,0.190
58,-0.013,0.190
59,-0.015,0.190
60,-0.015,0.202
61,-0.015,0.202
62,-0.015,0.202
63,-0.015,0.202
64,-0.015,0.218
65,-0.015,0.218
66,-0.015,0.218
67,-0.015,0.218
68,-0.015,0.230
69,-0.016,0.230
70,-0.017,0.230
71,-0.018,0.230
72,-0.018,0.241
73,-0.018,0.241
74,-0.017,0.241
75,-0.016,0.241
76,-0.015,0.241
77,-0.014,0.241
78,-0.012,0.241
79,-0.011,0.241
80,-0.011,0.241
81,-0.011,0.241
82,-0.011,0.241
83,-0.011,0.241
84,-0.011,0.241
85,-0.012,0.241
86,-0.013,0.241
87,-0.014,0.241
88,-0.013,0.236
89,-0.012,0.236
90,-0.011,0.236
91,-0.011,0.236
92,-0.011,0.225
93,-0.011,0.225
94,-0.011,0.225
95,-0.011,0.225
96,-0.011,0.207
97,-0.011,0.207
98,-0.011,0.207
99,-0.012,0.207
100,-0.013,0.190
101,-0.015,0.190
102,-0.015,0.190
103,-0.015,0.190
104,-0.015,0.172
105,-0.015,0.172
106,-0.015,0.172
107,-0.015,0.172
108,-0.015,0.149
109,-0.015,0.149
110,-0.015,0.149
111,-0.015,0.149
112,-0.015,0.127
113,-0.015,0.127
114,-0.015,0.127
115,-0.015,0.127
116,-0.015,0.115
117,-0.016,0.115
118,-0.017,0.115
119,-0.018,0.115
120,-0.018,0.092
121,-0.019,0.092
122,-0.019,0.092
123,-0.019,0.092
124,-0.019,0.069
125,-0.019,0.069
126,-0.019,0.069
127,-0.019,0.069
128,-0.019,0.046
129,-0.020,0.046
130,-0.021,0.046
131,-0.022,0.046
132,-0.022,0.029
133,-0.022,0.029
134,-0.022,0.029
135,-0.022,0.029
136,-0.021,0.006
137,-0.021,0.006
138,-0.019,0.006
139,-0.018,0.006
140,-0.016,-0.005
141,-0.015,-0.005
142,-0.014,-0.005
143,-0.014,-0.005
144,-0.014,-0.023
145,-0.015,-0.023
146,-0.015,-0.023
147,-0.015,-0.023
148,-0.014,-0.035
149,-0.014,-0.035
150,-0.013,-0.035
151,-0.012,-0.035
152,-0.011,-0.046
153,-0.010,-0.046
154,-0.008,-0.046
155,-0.007,-0.046
156,-0.004,-0.063
157,-0.002,-0.063
158,0.000,-0.063
159,0.003,-0.063
160,0.006,-0.069
161,0.009,-0.069
162,0.011,-0.069
163,0.014,-0.069
164,0.014,-0.074
165,0.014,-0.074
166,0.012,-0.074
167,0.010,-0.074
168,0.007,-0.074
169,0.005,-0.074
170,0.001,-0.074
171,-0.003,-0.074
172,-0.007,-0.074
173,-0.012,-0.074
174,-0.015,-0.074
175,-0.019,-0.074
176,-0.019,-0.081
177,-0.020,-0.081
178,-0.021,-0.081
179,-0.022,-0.081
180,-0.022,-0.081
181,-0.022,-0.081
182,-0.022,-0.081
183,-0.023,-0.081
184,-0.024,-0.086
185,-0.025,-0.086
186,-0.026,-0.086
187,-0.027,-0.086
188,-0.027,-0.086
189,-0.027,-0.086
190,-0.028,-0.086
191,-0.029,-0.086
192,-0.030,-0.092
193,-0.031,-0.092
194,-0.032,-0.092
195,-0.034,-0.092
196,-0.035,-0.092
197,-0.037,-0.092
198,-0.037,-0.092
199,-0.038,-0.092
200,-0.039,-0.092
201,-0.040,-0.092
202,-0.040,-0.092
203,-0.041,-0.092
204,-0.040,-0.098
205,-0.039,-0.098
206,-0.037,-0.098
207,-0.036,-0.098
208,-0.035,-0.103
209,-0.034,-0.103
210,-0.033,-0.103
211,-0.032,-0.103
212,-0.030,-0.103
213,-0.029,-0.103
214,-0.027,-0.103
215,-0.026,-0.103
216,-0.025,-0.115
217,-0.024,-0.115
218,-0.023,-0.115
219,-0.023,-0.115
220,-0.022,-0.115
221,-0.021,-0.115
222,-0.020,-0.115
223,-0.019,-0.115
224,-0.018,-0.127
225,-0.017,-0.127
226,-0.016,-0.127
227,-0.016,-0.127
228,-0.015,-0.120
229,-0.015,-0.120
230,-0.014,-0.120
231,-0.014,-0.120
232,-0.014,-0.127
233,-0.014,-0.127
234,-0.013,-0.127
235,-0.012,-0.127
236,-0.012,-0.132
237,-0.012,-0.132
238,-0.013,-0.132
239,-0.014,-0.132
240,-0.015,-0.127
241,-0.017,-0.127
242,-0.020,-0.127
243,-0.023,-0.127
244,-0.027,-0.132
245,-0.032,-0.132
246,-0.038,-0.132
247,-0.045,-0.132
248,-0.052,-0.138
249,-0.059,-0.138
250,-0.063,-0.138
251,-0.066,-0.138
252,-0.058,-0.138
253,-0.050,-0.138
254,-0.027,-0.138
255,-0.004,-0.138
256,0.035,-0.144
257,0.074,-0.144
258,0.128,-0.144
259,0.181,-0.144
260,0.245,-0.144
261,0.309,-0.144
262,0.378,-0.144
263,0.447,-0.144
264,0.509,-0.150
265,0.571,-0.150
266,0.611,-0.150
267,0.652,-0.150
268,0.661,-0.150
269,0.670,-0.150
270,0.649,-0.150
271,0.629,-0.150
272,0.591,-0.163
273,0.552,-0.163
274,0.510,-0.163
275,0.469,-0.163
276,0.431,-0.157
277,0.394,-0.157
278,0.358,-0.157
279,0.322,-0.157
280,0.286,-0.169
281,0.249,-0.169
282,0.211,-0.169
283,0.173,-0.169
284,0.139,-0.169
285,0.106,-0.169
286,0.080,-0.169
287,0.054,-0.169
288,0.036,-0.169
289,0.018,-0.169
290,0.006,-0.169
291,-0.006,-0.169
292,-0.013,-0.180
293,-0.021,-0.180
294,-0.025,-0.180
295,-0.029,-0.180
296,-0.031,-0.180
297,-0.034,-0.180
298,-0.036,-0.180
299,-0.038,-0.180
300,-0.039,-0.180
301,-0.041,-0.180
302,-0.042,-0.180
303,-0.044,-0.180
304,-0.045,-0.187
305,-0.045,-0.187
306,-0.045,-0.187
307,-0.045,-0.187
308,-0.045,-0.180
309,-0.045,-0.180
310,-0.044,-0.180
311,-0.044,-0.180
312,-0.044,-0.187
313,-0.044,-0.187
314,-0.044,-0.187
315,-0.044,-0.187
316,-0.044,-0.193
317,-0.044,-0.193
318,-0.044,-0.193
319,-0.044,-0.193
320,-0.044,-0.187
321,-0.044,-0.187
322,-0.044,-0.187
323,-0.044,-0.187
324,-0.043,-0.193
325,-0.043,-0.193
326,-0.042,-0.193
327,-0.041,-0.193
328,-0.040,-0.187
329,-0.040,-0.187
330,-0.039,-0.187
331,-0.039,-0.187
332,-0.038,-0.193
333,-0.037,-0.193
334,-0.037,-0.193
335,-0.037,-0.193
336,-0.037,-0.199
337,-0.037,-0.199
338,-0.037,-0.199
339,-0.037,-0.199
340,-0.037,-0.193
341,-0.037,-0.193
342,-0.037,-0.193
343,-0.038,-0.193
344,-0.038,-0.187
345,-0.039,-0.187
346,-0.038,-0.187
347,-0.037,-0.187
348,-0.035,-0.193
349,-0.033,-0.193
350,-0.031,-0.193
351,-0.029,-0.193
352,-0.027,-0.187
353,-0.026,-0.187
354,-0.025,-0.187
355,-0.024,-0.187
356,-0.023,-0.193
357,-0.022,-0.193
358,-0.020,-0.193
359,-0.018,-0.193
360,-0.015,-0.193
361,-0.013,-0.193
362,-0.009,-0.193
363,-0.006,-0.193
364,-0.003,-0.193
365,0.000,-0.193
366,0.002,-0.193
367,0.005,-0.193
368,0.007,-0.187
369,0.010,-0.187
370,0.011,-0.187
371,0.012,-0.187
372,0.013,-0.187
373,0.014,-0.187
374,0.015,-0.187
375,0.016,-0.187
376,0.016,-0.180
377,0.017,-0.180
378,0.019,-0.180
379,0.021,-0.180
380,0.024,-0.180
381,0.027,-0.180
382,0.032,-0.180
383,0.038,-0.180
384,0.043,-0.174
385,0.048,-0.174
386,0.052,-0.174
387,0.056,-0.174
388,0.059,-0.163
389,0.061,-0.163
390,0.063,-0.163
391,0.065,-0.163
392,0.068,-0.150
393,0.070,-0.150
394,0.073,-0.150
395,0.076,-0.150
396,0.079,-0.127
397,0.081,-0.127
398,0.083,-0.127
399,0.084,-0.127
400,0.085,-0.115
401,0.085,-0.115
402,0.084,-0.115
403,0.083,-0.115
404,0.080,-0.078
405,0.076,-0.078
406,0.072,-0.078
407,0.068,-0.078
408,0.063,-0.054
409,0.058,-0.054
410,0.053,-0.054
411,0.047,-0.054
412,0.042,-0.024
413,0.036,-0.024
414,0.030,-0.024
415,0.025,-0.024
416,0.020,0.013
417,0.016,0.013
418,0.012,0.013
419,0.009,0.013
420,0.007,0.043
421,0.005,0.043
422,0.001,0.043
423,-0.002,0.043
424,-0.005,0.072
425,-0.008,0.072
426,-0.010,0.072
427,-0.012,0.072
428,-0.012,0.109
429,-0.013,0.109
430,-0.013,0.109
431,-0.014,0.109
432,-0.015,0.133
433,-0.016,0.133
434,-0.017,0.133
435,-0.018,0.133
436,-0.019,0.163
437,-0.020,0.163
438,-0.021,0.163
439,-0.022,0.163
440,-0.021,0.181
441,-0.021,0.181
442,-0.020,0.181
443,-0.019,0.181
444,-0.018,0.193
445,-0.018,0.193
446,-0.018,0.193
447,-0.019,0.193
448,-0.018,0.199
449,-0.018,0.199
450,-0.017,0.199
451,-0.017,0.199
452,-0.017,0.205
453,-0.018,0.205
454,-0.019,0.205
455,-0.020,0.205
456,-0.021,0.211
457,-0.022,0.211
458,-0.022,0.211
459,-0.023,0.211
460,-0.023,0.199
461,-0.024,0.199
462,-0.024,0.199
463,-0.025,0.199
464,-0.025,0.193
465,-0.025,0.193
466,-0.025,0.193
467,-0.026,0.193
468,-0.026,0.181
469,-0.026,0.181
470,-0.026,0.181
471,-0.026,0.181
472,-0.026,0.175
473,-0.026,0.175
474,-0.026,0.175
475,-0.026,0.175
476,-0.026,0.151
477,-0.026,0.151
478,-0.025,0.151
479,-0.025,0.151
480,-0.024,0.139
481,-0.023,0.139
482,-0.022,0.139
483,-0.022,0.139
484,-0.022,0.109
485,-0.023,0.109
486,-0.023,0.109
487,-0.024,0.109
488,-0.024,0.090
489,-0.024,0.090
490,-0.023,0.090
491,-0.023,0.090
492,-0.024,0.079
493,-0.025,0.079
494,-0.025,0.079
495,-0.026,0.079
496,-0.024,0.054
497,-0.023,0.054
498,-0.023,0.054
499,-0.023,0.054
500,-0.024,0.030
501,-0.025,0.030
502,-0.026,0.030
503,-0.027,0.030
504,-0.026,0.006
505,-0.026,0.006
506,-0.026,0.006
507,-0.026,0.006
508,-0.026,-0.012
509,-0.026,-0.012
510,-0.025,-0.012
511,-0.025,-0.012
512,-0.023,-0.030
513,-0.022,-0.030
514,-0.020,-0.030
515,-0.019,-0.030
516,-0.018,-0.042
517,-0.018,-0.042
518,-0.018,-0.042
519,-0.018,-0.042
520,-0.017,-0.054
521,-0.016,-0.054
522,-0.015,-0.054
523,-0.015,-0.054
524,-0.014,-0.066
525,-0.013,-0.066
526,-0.012,-0.066
527,-0.012,-0.066
528,-0.011,-0.072
529,-0.010,-0.072
530,-0.008,-0.072
531,-0.006,-0.072
532,-0.003,-0.084
533,0.000,-0.084
534,0.002,-0.084
535,0.005,-0.084
536,0.008,-0.089
537,0.011,-0.089
538,0.012,-0.089
539,0.014,-0.089
540,0.014,-0.084
541,0.014,-0.084
542,0.011,-0.084
543,0.009,-0.084
544,0.005,-0.089
545,0.001,-0.089
546,-0.004,-0.089
547,-0.009,-0.089
548,-0.013,-0.096
549,-0.017,-0.096
550,-0.020,-0.096
551,-0.024,-0.096
552,-0.026,-0.102
553,-0.029,-0.102
554,-0.030,-0.102
555,-0.031,-0.102
556,-0.032,-0.107
557,-0.033,-0.107
558,-0.033,-0.107
559,-0.034,-0.107
560,-0.033,-0.102
561,-0.033,-0.102
562,-0.033,-0.102
563,-0.034,-0.102
564,-0.035,-0.114
565,-0.036,-0.114
566,-0.037,-0.114
567,-0.038,-0.114
568,-0.039,-0.114
569,-0.040,-0.114
570,-0.040,-0.114
571,-0.041,-0.114
572,-0.040,-0.126
573,-0.040,-0.126
574,-0.040,-0.126
575,-0.040,-0.126
576,-0.040,-0.126
577,-0.040,-0.126
578,-0.040,-0.126
579,-0.041,-0.126
580,-0.041,-0.138
581,-0.042,-0.138
582,-0.041,-0.138
583,-0.040,-0.138
584,-0.038,-0.138
585,-0.036,-0.138
586,-0.034,-0.138
587,-0.032,-0.138
588,-0.030,-0.143
589,-0.029,-0.143
590,-0.027,-0.143
591,-0.025,-0.143
592,-0.023,-0.143
593,-0.022,-0.143
594,-0.022,-0.143
595,-0.022,-0.143
596,-0.022,-0.155
597,-0.022,-0.155
598,-0.022,-0.155
599,-0.022,-0.155
600,-0.022,-0.149
601,-0.022,-0.149
602,-0.021,-0.149
603,-0.021,-0.149
604,-0.019,-0.162
605,-0.018,-0.162
606,-0.016,-0.162
607,-0.014,-0.162
608,-0.013,-0.162
609,-0.012,-0.162
610,-0.013,-0.162
611,-0.014,-0.162
612,-0.015,-0.168
613,-0.016,-0.168
614,-0.017,-0.168
615,-0.019,-0.168
616,-0.021,-0.168
617,-0.023,-0.168
618,-0.025,-0.168
619,-0.028,-0.168
620,-0.032,-0.173
621,-0.037,-0.173
622,-0.043,-0.173
623,-0.049,-0.173
624,-0.057,-0.168
625,-0.064,-0.168
626,-0.066,-0.168
627,-0.068,-0.168
628,-0.057,-0.173
629,-0.045,-0.173
630,-0.018,-0.173
631,0.010,-0.173
632,0.053,-0.179
633,0.097,-0.179
634,0.154,-0.179
635,0.212,-0.179
636,0.278,-0.173
637,0.345,-0.173
638,0.412,-0.173
639,0.479,-0.173
640,0.532,-0.179
641,0.585,-0.179
642,0.611,-0.179
643,0.638,-0.179
644,0.634,-0.173
645,0.629,-0.173
646,0.600,-0.173
647,0.571,-0.173
648,0.533,-0.179
