,0
0,314
1,613
2,917
3,1215
4,1519
5,1818
6,2122
7,2426
8,2724
9,3027
10,3331
11,3624
12,3926
13,4226
14,4532
15,4833
16,5129
17,5436
18,5742
19,6036
20,6341
21,6640
22,6944
23,7245
24,7537
25,7842
26,8144
27,8441
28,8741
29,9039
30,9344
31,9639
32,9935
33,10239
34,10539
35,10835
36,11141
37,11438
38,11744
39,12041
40,12336
41,12646
42,12949
43,13245
44,13551
45,13848
46,14156
47,14455
48,14755
49,15067
50,15368
51,15661
52,15963
53,16260
54,16553
55,16847
56,17141
57,17444
58,17743
59,17937
60,18289
61,18599
62,18909
63,19217
64,19523
65,19840
66,20148
67,20443
68,20741
69,21048
70,21350
