,0
0,216
1,403
2,605
3,803
4,943
5,1167
6,1289
7,1467
8,1610
9,1718
10,2036
11,2161
12,2254
13,2367
14,2481
15,2599
16,2688
17,2774
18,2901
19,3072
20,3224
21,3326
22,3547
23,3663
24,3858
25,3977
26,4070
27,4372
28,4492
29,4582
30,4692
31,4782
32,5028
33,5147
34,5236
35,5349
36,5504
37,5614
38,5702
39,5821
40,5983
41,6254
42,6444
43,6560
44,6649
45,6756
46,6877
47,7097
48,7218
49,7307
50,7420
51,7530
52,7630
53,7760
54,7883
55,8005
56,8111
57,8224
58,8316
59,8439
60,8560
61,8676
62,8798
63,8929
64,9053
65,9181
66,9317
67,9440
68,9557
69,9746
70,9863
71,9954
72,10064
73,10182
74,10290
75,10407
76,10518
77,10633
78,10774
79,10909
80,11035
81,11140
82,11258
83,11385
84,11489
85,11616
86,11722
87,11817
88,11951
89,12088
90,12225
91,12346
92,12455
93,12572
94,12678
95,12783
96,12911
97,13031
98,13152
99,13271
100,13441
101,13556
102,13683
103,13810
104,13950
105,14075
106,14175
107,14299
108,14429
109,14539
110,14707
111,14854
112,14978
113,15111
114,15269
115,15385
116,15513
117,15639
118,15760
119,15867
120,16012
121,16141
122,16245
123,16342
124,16450
125,16619
126,16750
127,16933
128,17120
129,17232
130,17353
131,17467
132,17599
133,17760
134,17896
135,18036
136,18174
137,18309
138,18439
139,18564
140,18713
141,18847
142,18960
143,19113
144,19236
145,19353
146,19453
147,19608
148,19757
149,19996
150,20140
151,20265
152,20382
153,20494
154,20611
155,20721
156,20836
157,20963
158,21096
159,21281
160,21448
161,21560
162,21670
163,21776
164,21923
165,22048
166,22165
167,22287
168,22419
169,22568
170,22692
171,22811
172,23075
173,23269
174,23387
175,23515
176,23613
177,23754
178,23887
179,24082
180,24217
181,24352
182,24467
183,24630
184,24740
185,24840
186,24984
187,25127
188,25248
189,25424
190,25650
191,25782
192,25902
193,26013
194,26139
195,26233
196,26319
197,26427
198,26543
199,26668
200,26825
201,26994
202,27135
203,27251
204,27352
205,27553
206,27673
207,27789
208,27899
209,28090
210,28278
211,28411
212,28547
213,28697
214,28813
215,28942
216,29128
217,29289
218,29390
