,0
0,187
1,202
2,198
3,140
4,224
5,122
6,178
7,143
8,108
9,318
10,125
11,93
12,113
13,114
14,118
15,89
16,86
17,127
18,171
19,152
20,102
21,221
22,116
23,195
24,119
25,93
26,302
27,120
28,90
29,110
30,90
31,246
32,119
33,89
34,113
35,155
36,110
37,88
38,119
39,162
40,271
41,190
42,116
43,89
44,107
45,121
46,220
47,121
48,89
49,113
50,110
51,100
52,130
53,123
54,122
55,106
56,113
57,92
58,123
59,121
60,116
61,122
62,131
63,124
64,128
65,136
66,123
67,117
68,189
69,117
70,91
71,110
72,118
73,108
74,117
75,111
76,115
77,141
78,135
79,126
80,105
81,118
82,127
83,104
84,127
85,106
86,95
87,134
88,137
89,137
90,121
91,109
92,117
93,106
94,105
95,128
96,120
97,121
98,119
99,170
100,115
101,127
102,127
103,140
104,125
105,100
106,124
107,130
108,110
109,168
110,147
111,124
112,133
113,158
114,116
115,128
116,126
117,121
118,107
119,145
120,129
121,104
122,97
123,108
124,169
125,131
126,183
127,187
128,112
129,121
130,114
131,132
132,161
133,136
134,140
135,138
136,135
137,130
138,125
139,149
140,134
141,113
142,153
143,123
144,117
145,100
146,155
147,149
148,239
149,144
150,125
151,117
152,112
153,117
154,110
155,115
156,127
157,133
158,185
159,167
160,112
161,110
162,106
163,147
164,125
165,117
166,122
167,132
168,149
169,124
170,119
171,264
172,194
173,118
174,128
175,98
176,141
177,133
178,195
179,135
180,135
181,115
182,163
183,110
184,100
185,144
186,143
187,121
188,176
189,226
190,132
191,120
192,111
193,126
194,94
195,86
196,108
197,116
198,125
199,157
200,169
201,141
202,116
203,101
204,201
205,120
206,116
207,110
208,191
209,188
210,133
211,136
212,150
213,116
214,129
215,186
216,161
217,101
218,110
219,102
220,122
221,102
222,111
223,106
224,131
225,196
226,150
227,117
228,270
229,177
230,201
231,150
232,166
233,210
234,124
235,166
236,145
237,109
238,128
239,211
240,119
241,126
242,164
243,134
244,95
245,93
246,137
247,112
248,105
249,98
250,207
251,140
252,109
253,103
254,118
255,104
256,134
257,169
258,115
259,131
260,101
261,98
262,192
263,152
264,141
265,106
266,129
267,204
268,103
269,115
270,111
271,108
272,127
273,112
274,119
275,119
276,163
277,131
278,128
279,176
280,133
281,137
282,119
283,123
284,160
285,110
286,159
287,172
288,125
289,123
290,140
291,143
292,128
293,100
294,103
295,137
296,148
297,116
298,126
299,134
300,120
301,153
302,130
303,159
304,119
305,93
306,133
307,131
308,115
309,111
310,146
311,213
312,112
313,144
314,187
315,173
316,102
317,112
318,159
319,186
