'Time and date','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[12:40:38.000 20/07/1995]',0.002,0.001,101.537,33.216,0.209,-0.577
'[12:40:38.002 20/07/1995]',0.002,0.001,101.537,33.216,0.209,-0.577
'[12:40:38.004 20/07/1995]',0.002,0.001,101.537,33.216,0.209,-0.577
'[12:40:38.006 20/07/1995]',0.002,0.001,101.537,33.216,0.209,-0.577
'[12:40:38.008 20/07/1995]',0.002,0.001,100.412,32.462,0.155,-0.577
'[12:40:38.010 20/07/1995]',0.002,0.001,100.412,32.462,0.155,-0.577
'[12:40:38.012 20/07/1995]',0.002,0.001,100.412,32.462,0.155,-0.577
'[12:40:38.014 20/07/1995]',0.002,0.001,100.412,32.462,0.155,-0.577
'[12:40:38.016 20/07/1995]',0.002,0.001,99.213,31.859,0.104,-0.577
'[12:40:38.018 20/07/1995]',0.002,0.001,99.213,31.859,0.104,-0.577
'[12:40:38.020 20/07/1995]',0.002,0.001,99.213,31.859,0.104,-0.577
'[12:40:38.022 20/07/1995]',0.002,0.001,99.213,31.859,0.104,-0.577
'[12:40:38.024 20/07/1995]',0.002,0.001,98.313,31.558,0.057,-0.577
'[12:40:38.026 20/07/1995]',0.002,0.001,98.313,31.558,0.057,-0.577
'[12:40:38.028 20/07/1995]',0.002,0.001,98.313,31.558,0.057,-0.577
'[12:40:38.030 20/07/1995]',0.002,0.001,98.313,31.558,0.057,-0.577
'[12:40:38.032 20/07/1995]',0.002,0.001,97.563,31.508,0.010,-0.577
'[12:40:38.034 20/07/1995]',0.002,0.001,97.563,31.508,0.010,-0.577
'[12:40:38.036 20/07/1995]',0.002,0.001,97.563,31.508,0.010,-0.577
'[12:40:38.038 20/07/1995]',0.002,0.001,97.563,31.508,0.010,-0.577
'[12:40:38.040 20/07/1995]',0.002,0.001,96.813,31.683,-0.027,-0.578
