'Time and date','MCL1','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[07:40:49.000 26/05/1995]',0.001,-0.052,0.002,72.150,49.447,0.000,-0.779
'[07:40:49.002 26/05/1995]',0.011,-0.052,0.002,72.150,49.447,0.000,-0.779
'[07:40:49.004 26/05/1995]',0.011,-0.052,0.002,72.150,49.447,0.000,-0.779
'[07:40:49.006 26/05/1995]',0.021,-0.052,0.002,72.150,49.447,0.000,-0.779
'[07:40:49.008 26/05/1995]',0.032,-0.052,0.002,71.625,48.241,0.000,-0.795
'[07:40:49.010 26/05/1995]',0.032,-0.052,0.002,71.625,48.241,0.000,-0.795
'[07:40:49.012 26/05/1995]',0.021,-0.052,0.002,71.625,48.241,0.000,-0.795
'[07:40:49.014 26/05/1995]',0.021,-0.052,0.002,71.625,48.241,0.000,-0.795
'[07:40:49.016 26/05/1995]',0.021,-0.052,0.002,71.100,47.186,0.000,-0.810
'[07:40:49.018 26/05/1995]',0.032,-0.052,0.002,71.100,47.186,0.000,-0.810
'[07:40:49.020 26/05/1995]',0.021,-0.052,0.002,71.100,47.186,0.000,-0.810
'[07:40:49.022 26/05/1995]',0.021,-0.052,0.002,71.100,47.186,0.000,-0.810
'[07:40:49.024 26/05/1995]',0.021,-0.052,0.002,70.500,46.080,0.000,-0.825
'[07:40:49.026 26/05/1995]',0.021,-0.052,0.002,70.500,46.080,0.000,-0.825
'[07:40:49.028 26/05/1995]',0.021,-0.052,0.002,70.500,46.080,0.000,-0.825
'[07:40:49.030 26/05/1995]',0.021,-0.052,0.002,70.500,46.080,0.000,-0.825
'[07:40:49.032 26/05/1995]',0.021,-0.052,0.002,70.050,44.925,0.000,-0.839
'[07:40:49.034 26/05/1995]',0.011,-0.052,0.002,70.050,44.925,0.000,-0.839
'[07:40:49.036 26/05/1995]',0.021,-0.052,0.002,70.050,44.925,0.000,-0.839
'[07:40:49.038 26/05/1995]',0.021,-0.052,0.002,70.050,44.925,0.000,-0.839
'[07:40:49.040 26/05/1995]',0.021,-0.052,0.002,69.600,43.869,0.000,-0.854
'[07:40:49.042 26/05/1995]',0.032,-0.052,0.002,69.600,43.869,0.000,-0.854
'[07:40:49.044 26/05/1995]',0.032,-0.052,0.002,69.600,43.869,0.000,-0.854
'[07:40:49.046 26/05/1995]',0.032,-0.052,0.002,69.600,43.869,0.000,-0.854
'[07:40:49.048 26/05/1995]',0.032,-0.052,0.002,69.150,42.965,0.000,-0.868
'[07:40:49.050 26/05/1995]',0.032,-0.052,0.002,69.150,42.965,0.000,-0.868
'[07:40:49.052 26/05/1995]',0.021,-0.052,0.002,69.150,42.965,0.000,-0.868
'[07:40:49.054 26/05/1995]',0.021,-0.052,0.002,69.150,42.965,0.000,-0.868
'[07:40:49.056 26/05/1995]',0.032,-0.052,0.002,68.775,42.060,0.000,-0.882
'[07:40:49.058 26/05/1995]',0.032,-0.052,0.002,68.775,42.060,0.000,-0.882
'[07:40:49.060 26/05/1995]',0.032,-0.052,0.002,68.775,42.060,0.000,-0.882
'[07:40:49.062 26/05/1995]',0.032,-0.052,0.002,68.775,42.060,0.000,-0.882
'[07:40:49.064 26/05/1995]',0.032,-0.052,0.002,68.325,41.357,0.000,-0.896
'[07:40:49.066 26/05/1995]',0.021,-0.052,0.002,68.325,41.357,0.000,-0.896
'[07:40:49.068 26/05/1995]',0.021,-0.052,0.002,68.325,41.357,0.000,-0.896
'[07:40:49.070 26/05/1995]',0.021,-0.052,0.002,68.325,41.357,0.000,-0.896
'[07:40:49.072 26/05/1995]',0.032,-0.052,0.002,68.025,40.754,0.000,-0.910
'[07:40:49.074 26/05/1995]',0.032,-0.079,0.002,68.025,40.754,0.000,-0.910
'[07:40:49.076 26/05/1995]',0.032,-0.052,0.002,68.025,40.754,0.000,-0.910
'[07:40:49.078 26/05/1995]',0.032,-0.079,0.002,68.025,40.754,0.000,-0.910
'[07:40:49.080 26/05/1995]',0.032,-0.052,0.002,67.650,40.352,0.000,-0.924
'[07:40:49.082 26/05/1995]',0.032,-0.052,0.002,67.650,40.352,0.000,-0.924
'[07:40:49.084 26/05/1995]',0.032,-0.052,0.002,67.650,40.352,0.000,-0.924
'[07:40:49.086 26/05/1995]',0.032,-0.052,0.002,67.650,40.352,0.000,-0.924
'[07:40:49.088 26/05/1995]',0.032,-0.079,0.002,67.275,40.000,0.000,-0.939
'[07:40:49.090 26/05/1995]',0.032,-0.079,0.002,67.275,40.000,0.000,-0.939
'[07:40:49.092 26/05/1995]',0.032,-0.079,0.002,67.275,40.000,0.000,-0.939
'[07:40:49.094 26/05/1995]',0.032,-0.079,0.002,67.275,40.000,0.000,-0.939
'[07:40:49.096 26/05/1995]',0.032,-0.079,0.002,66.900,39.749,0.000,-0.953
'[07:40:49.098 26/05/1995]',0.032,-0.079,0.002,66.900,39.749,0.000,-0.953
'[07:40:49.100 26/05/1995]',0.032,-0.079,0.002,66.900,39.749,0.000,-0.953
'[07:40:49.102 26/05/1995]',0.032,-0.079,0.002,66.900,39.749,0.000,-0.953
'[07:40:49.104 26/05/1995]',0.032,-0.079,0.002,66.525,39.548,0.000,-0.967
'[07:40:49.106 26/05/1995]',0.021,-0.079,0.002,66.525,39.548,0.000,-0.967
'[07:40:49.108 26/05/1995]',0.032,-0.079,0.002,66.525,39.548,0.000,-0.967
'[07:40:49.110 26/05/1995]',0.021,-0.052,0.002,66.525,39.548,0.000,-0.967
'[07:40:49.112 26/05/1995]',0.032,-0.079,0.002,66.150,39.296,0.000,-0.980
'[07:40:49.114 26/05/1995]',0.032,-0.052,0.002,66.150,39.296,0.000,-0.980
'[07:40:49.116 26/05/1995]',0.032,-0.079,0.002,66.150,39.296,0.000,-0.980
'[07:40:49.118 26/05/1995]',0.032,-0.079,0.002,66.150,39.296,0.000,-0.980
'[07:40:49.120 26/05/1995]',0.032,-0.052,0.002,65.700,38.995,0.000,-0.994
'[07:40:49.122 26/05/1995]',0.032,-0.079,0.002,65.700,38.995,0.000,-0.994
'[07:40:49.124 26/05/1995]',0.032,-0.079,0.002,65.700,38.995,0.000,-0.994
'[07:40:49.126 26/05/1995]',0.032,-0.079,0.002,65.700,38.995,0.000,-0.994
'[07:40:49.128 26/05/1995]',0.032,-0.079,0.002,65.325,38.643,0.000,-1.007
'[07:40:49.130 26/05/1995]',0.042,-0.079,0.002,65.325,38.643,0.000,-1.007
'[07:40:49.132 26/05/1995]',0.032,-0.079,0.002,65.325,38.643,0.000,-1.007
'[07:40:49.134 26/05/1995]',0.032,-0.079,0.002,65.325,38.643,0.000,-1.007
'[07:40:49.136 26/05/1995]',0.032,-0.079,0.002,64.950,38.241,0.000,-1.020
'[07:40:49.138 26/05/1995]',0.032,-0.052,0.002,64.950,38.241,0.000,-1.020
'[07:40:49.140 26/05/1995]',0.032,-0.079,0.002,64.950,38.241,0.000,-1.020
'[07:40:49.142 26/05/1995]',0.032,-0.079,0.002,64.950,38.241,0.000,-1.020
'[07:40:49.144 26/05/1995]',0.032,-0.079,0.002,64.575,37.889,0.000,-
'[07:40:49.146 26/05/1995]',0.032,-0.079,0.002,64.575,37.889,0.000,-
'[07:40:49.148 26/05/1995]',0.042,-0.079,0.019,64.575,37.889,0.000,-
'[07:40:49.150 26/05/1995]',0.053,-0.106,0.038,64.575,37.889,0.000,-
'[07:40:49.152 26/05/1995]',0.042,-0.079,0.038,64.125,37.538,0.000,-
'[07:40:49.154 26/05/1995]',0.042,-0.079,0.038,64.125,37.538,0.000,-
'[07:40:49.156 26/05/1995]',0.042,-0.079,0.038,64.125,37.538,0.000,-
'[07:40:49.158 26/05/1995]',0.032,-0.052,0.038,64.125,37.538,0.000,-
'[07:40:49.160 26/05/1995]',0.032,-0.052,0.019,63.825,37.337,0.000,-
'[07:40:49.162 26/05/1995]',0.011,-0.052,0.019,63.825,37.337,0.000,-
'[07:40:49.164 26/05/1995]',0.001,-0.025,0.019,63.825,37.337,0.000,-
'[07:40:49.166 26/05/1995]',0.001,-0.025,0.019,63.825,37.337,0.000,-
'[07:40:49.168 26/05/1995]',-0.020,-0.025,0.002,63.450,37.286,0.000,-
