'Time and date','II','I','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[16:10:09.000 12/11/1995]',-0.108,-0.023,0.085,46.992,-0.409,-0.286
'[16:10:09.002 12/11/1995]',-0.100,-0.011,0.091,46.992,-0.409,-0.286
'[16:10:09.004 12/11/1995]',-0.108,-0.029,0.085,46.992,-0.409,-0.286
'[16:10:09.006 12/11/1995]',-0.108,-0.029,0.085,46.992,-0.409,-0.286
'[16:10:09.008 12/11/1995]',-0.100,-0.029,0.085,46.617,-0.422,-0.279
'[16:10:09.010 12/11/1995]',-0.108,-0.029,0.085,46.617,-0.422,-0.279
'[16:10:09.012 12/11/1995]',-0.108,-0.023,0.085,46.617,-0.422,-0.279
'[16:10:09.014 12/11/1995]',-0.108,-0.029,0.085,46.617,-0.422,-0.279
'[16:10:09.016 12/11/1995]',-0.108,-0.011,0.085,46.391,-0.429,-0.272
'[16:10:09.018 12/11/1995]',-0.100,-0.023,0.085,46.391,-0.429,-0.272
'[16:10:09.020 12/11/1995]',-0.100,-0.023,0.085,46.391,-0.429,-0.272
'[16:10:09.022 12/11/1995]',-0.100,-0.029,0.074,46.391,-0.429,-0.272
'[16:10:09.024 12/11/1995]',-0.108,-0.034,0.074,46.090,-0.438,-0.265
'[16:10:09.026 12/11/1995]',-0.100,-0.034,0.074,46.090,-0.438,-0.265
'[16:10:09.028 12/11/1995]',-0.108,-0.029,0.074,46.090,-0.438,-0.265
'[16:10:09.030 12/11/1995]',-0.100,-0.023,0.085,46.090,-0.438,-0.265
'[16:10:09.032 12/11/1995]',-0.108,-0.023,0.074,45.714,-0.450,-0.259
'[16:10:09.034 12/11/1995]',-0.100,-0.023,0.085,45.714,-0.450,-0.259
'[16:10:09.036 12/11/1995]',-0.100,-0.023,0.085,45.714,-0.450,-0.259
'[16:10:09.038 12/11/1995]',-0.100,-0.023,0.074,45.714,-0.450,-0.259
'[16:10:09.040 12/11/1995]',-0.092,-0.034,0.069,45.338,-0.456,-0.252
'[16:10:09.042 12/11/1995]',-0.100,-0.034,0.069,45.338,-0.456,-0.252
'[16:10:09.044 12/11/1995]',-0.100,-0.034,0.069,45.338,-0.456,-0.252
'[16:10:09.046 12/11/1995]',-0.100,-0.029,0.069,45.338,-0.456,-0.252
'[16:10:09.048 12/11/1995]',-0.100,-0.023,0.074,45.038,-0.466,-0.245
'[16:10:09.050 12/11/1995]',-0.092,-0.023,0.069,45.038,-0.466,-0.245
'[16:10:09.052 12/11/1995]',-0.100,-0.023,0.069,45.038,-0.466,-0.245
'[16:10:09.054 12/11/1995]',-0.092,-0.029,0.069,45.038,-0.466,-0.245
'[16:10:09.056 12/11/1995]',-0.092,-0.029,0.069,44.737,-0.476,-0.239
'[16:10:09.058 12/11/1995]',-0.092,-0.029,0.069,44.737,-0.476,-0.239
'[16:10:09.060 12/11/1995]',-0.092,-0.029,0.063,44.737,-0.476,-0.239
'[16:10:09.062 12/11/1995]',-0.092,-0.029,0.069,44.737,-0.476,-0.239
'[16:10:09.064 12/11/1995]',-0.092,-0.023,0.069,44.361,-0.481,-0.232
'[16:10:09.066 12/11/1995]',-0.092,-0.023,0.069,44.361,-0.481,-0.232
'[16:10:09.068 12/11/1995]',-0.083,-0.023,0.063,44.361,-0.481,-0.232
'[16:10:09.070 12/11/1995]',-0.083,-0.029,0.063,44.361,-0.481,-0.232
'[16:10:09.072 12/11/1995]',-0.083,-0.029,0.069,43.985,-0.488,-0.225
'[16:10:09.074 12/11/1995]',-0.083,-0.029,0.063,43.985,-0.488,-0.225
'[16:10:09.076 12/11/1995]',-0.083,-0.029,0.063,43.985,-0.488,-0.225
'[16:10:09.078 12/11/1995]',-0.083,-0.029,0.052,43.985,-0.488,-0.225
'[16:10:09.080 12/11/1995]',-0.083,-0.023,0.052,43.684,-0.494,-0.219
'[16:10:09.082 12/11/1995]',-0.075,-0.011,0.063,43.684,-0.494,-0.219
'[16:10:09.084 12/11/1995]',-0.075,-0.011,0.052,43.684,-0.494,-0.219
'[16:10:09.086 12/11/1995]',-0.075,-0.023,0.052,43.684,-0.494,-0.219
'[16:10:09.088 12/11/1995]',-0.066,-0.023,0.052,43.459,-0.499,-0.212
'[16:10:09.090 12/11/1995]',-0.075,-0.029,0.046,43.459,-0.499,-0.212
'[16:10:09.092 12/11/1995]',-0.075,-0.029,0.046,43.459,-0.499,-0.212
'[16:10:09.094 12/11/1995]',-0.075,-0.023,0.046,43.459,-0.499,-0.212
'[16:10:09.096 12/11/1995]',-0.075,-0.023,0.046,43.459,-0.508,-0.206
'[16:10:09.098 12/11/1995]',-0.066,-0.011,0.046,43.459,-0.508,-0.206
'[16:10:09.100 12/11/1995]',-0.058,-0.011,0.052,43.459,-0.508,-0.206
'[16:10:09.102 12/11/1995]',-0.058,-0.011,0.046,43.459,-0.508,-0.206
'[16:10:09.104 12/11/1995]',-0.058,-0.023,0.046,44.060,-0.510,-0.200
'[16:10:09.106 12/11/1995]',-0.058,-0.029,0.034,44.060,-0.510,-0.200
'[16:10:09.108 12/11/1995]',-0.058,-0.029,0.034,44.060,-0.510,-0.200
'[16:10:09.110 12/11/1995]',-0.050,-0.029,0.034,44.060,-0.510,-0.200
'[16:10:09.112 12/11/1995]',-0.058,-0.023,0.034,45.639,-0.515,-0.195
'[16:10:09.114 12/11/1995]',-0.050,-0.023,0.034,45.639,-0.515,-0.195
'[16:10:09.116 12/11/1995]',-0.050,-0.023,0.046,45.639,-0.515,-0.195
'[16:10:09.118 12/11/1995]',-0.041,-0.011,0.046,45.639,-0.515,-0.195
'[16:10:09.120 12/11/1995]',-0.041,-0.023,0.034,48.647,-0.515,-0.190
'[16:10:09.122 12/11/1995]',-0.041,-0.023,0.034,48.647,-0.515,-0.190
'[16:10:09.124 12/11/1995]',-0.041,-0.029,0.034,48.647,-0.515,-0.190
'[16:10:09.126 12/11/1995]',-0.041,-0.029,0.034,48.647,-0.515,-0.190
'[16:10:09.128 12/11/1995]',-0.041,-0.023,0.034,53.083,-0.517,-0.184
'[16:10:09.130 12/11/1995]',-0.041,-0.023,0.029,53.083,-0.517,-0.184
'[16:10:09.132 12/11/1995]',-0.033,-0.011,0.034,53.083,-0.517,-0.184
'[16:10:09.134 12/11/1995]',-0.024,-0.011,0.034,53.083,-0.517,-0.184
'[16:10:09.136 12/11/1995]',-0.024,-0.023,0.034,58.647,-0.515,-0.178
'[16:10:09.138 12/11/1995]',-0.024,-0.011,0.034,58.647,-0.515,-0.178
'[16:10:09.140 12/11/1995]',-0.024,-0.011,0.029,58.647,-0.515,-0.178
'[16:10:09.142 12/11/1995]',-0.024,-0.011,0.029,58.647,-0.515,-0.178
'[16:10:09.144 12/11/1995]',-0.024,-0.023,0.029,64.662,-0.512,-0.170
'[16:10:09.146 12/11/1995]',-0.024,-0.011,0.034,64.662,-0.512,-0.170
'[16:10:09.148 12/11/1995]',-0.024,-0.011,0.029,64.662,-0.512,-0.170
'[16:10:09.150 12/11/1995]',-0.016,-0.005,0.029,64.662,-0.512,-0.170
'[16:10:09.152 12/11/1995]',-0.016,-0.011,0.034,70.677,-0.501,-0.162
'[16:10:09.154 12/11/1995]',-0.016,-0.023,0.029,70.677,-0.501,-0.162
'[16:10:09.156 12/11/1995]',-0.016,-0.011,0.029,70.677,-0.501,-0.162
'[16:10:09.158 12/11/1995]',-0.016,-0.023,0.029,70.677,-0.501,-0.162
'[16:10:09.160 12/11/1995]',-0.008,-0.023,0.029,76.391,-0.490,-0.154
'[16:10:09.162 12/11/1995]',-0.016,-0.023,0.029,76.391,-0.490,-0.154
'[16:10:09.164 12/11/1995]',-0.016,-0.011,0.029,76.391,-0.490,-0.154
'[16:10:09.166 12/11/1995]',-0.008,-0.005,0.029,76.391,-0.490,-0.154
'[16:10:09.168 12/11/1995]',-0.008,-0.005,0.029,81.579,-0.472,-0.144
'[16:10:09.170 12/11/1995]',-0.016,-0.011,0.029,81.579,-0.472,-0.144
'[16:10:09.172 12/11/1995]',-0.008,-0.023,0.029,81.579,-0.472,-0.144
'[16:10:09.174 12/11/1995]',-0.008,-0.029,0.023,81.579,-0.472,-0.144
'[16:10:09.176 12/11/1995]',-0.016,-0.023,0.023,86.241,-0.447,-0.135
'[16:10:09.178 12/11/1995]',-0.016,-0.023,0.012,86.241,-0.447,-0.135
'[16:10:09.180 12/11/1995]',-0.008,-0.011,0.023,86.241,-0.447,-0.135
'[16:10:09.182 12/11/1995]',-0.008,-0.011,0.023,86.241,-0.447,-0.135
'[16:10:09.184 12/11/1995]',0.001,-0.011,0.023,90.301,-0.413,-0.125
'[16:10:09.186 12/11/1995]',0.001,-0.005,0.012,90.301,-0.413,-0.125
'[16:10:09.188 12/11/1995]',0.001,-0.011,0.012,90.301,-0.413,-0.125
'[16:10:09.190 12/11/1995]',0.001,-0.023,0.012,90.301,-0.413,-0.125
'[16:10:09.192 12/11/1995]',-0.008,-0.023,0.006,93.684,-0.372,-0.115
'[16:10:09.194 12/11/1995]',-0.008,-0.011,0.006,93.684,-0.372,-0.115
'[16:10:09.196 12/11/1995]',0.001,-0.011,0.006,93.684,-0.372,-0.115
'[16:10:09.198 12/11/1995]',0.001,-0.005,0.006,93.684,-0.372,-0.115
'[16:10:09.200 12/11/1995]',0.001,-0.005,0.006,96.541,-0.326,-0.106
'[16:10:09.202 12/11/1995]',0.009,-0.005,0.006,96.541,-0.326,-0.106
'[16:10:09.204 12/11/1995]',0.009,-0.011,0.001,96.541,-0.326,-0.106
