'Time and date','II ','V ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[14:20:13.000 26/01/1995]',-0.048,0.828,63.058,-0.554,-0.517
'[14:20:13.002 26/01/1995]',-0.046,0.760,63.058,-0.554,-0.517
'[14:20:13.004 26/01/1995]',-0.045,0.667,63.058,-0.554,-0.517
'[14:20:13.006 26/01/1995]',-0.044,0.575,63.058,-0.554,-0.517
'[14:20:13.008 26/01/1995]',-0.047,0.479,62.707,-0.556,-0.516
'[14:20:13.010 26/01/1995]',-0.051,0.383,62.707,-0.556,-0.516
'[14:20:13.012 26/01/1995]',-0.058,0.299,62.707,-0.556,-0.516
'[14:20:13.014 26/01/1995]',-0.065,0.215,62.707,-0.556,-0.516
'[14:20:13.016 26/01/1995]',-0.071,0.152,62.406,-0.558,-0.515
'[14:20:13.018 26/01/1995]',-0.078,0.090,62.406,-0.558,-0.515
'[14:20:13.020 26/01/1995]',-0.084,0.051,62.406,-0.558,-0.515
'[14:20:13.022 26/01/1995]',-0.090,0.012,62.406,-0.558,-0.515
'[14:20:13.024 26/01/1995]',-0.094,-0.010,62.055,-0.561,-0.515
'[14:20:13.026 26/01/1995]',-0.099,-0.032,62.055,-0.561,-0.515
'[14:20:13.028 26/01/1995]',-0.101,-0.043,62.055,-0.561,-0.515
'[14:20:13.030 26/01/1995]',-0.102,-0.055,62.055,-0.561,-0.515
'[14:20:13.032 26/01/1995]',-0.102,-0.063,61.754,-0.562,-0.516
'[14:20:13.034 26/01/1995]',-0.102,-0.072,61.754,-0.562,-0.516
'[14:20:13.036 26/01/1995]',-0.102,-0.077,61.754,-0.562,-0.516
'[14:20:13.038 26/01/1995]',-0.101,-0.082,61.754,-0.562,-0.516
'[14:20:13.040 26/01/1995]',-0.099,-0.085,61.454,-0.564,-0.517
'[14:20:13.042 26/01/1995]',-0.098,-0.088,61.454,-0.564,-0.517
'[14:20:13.044 26/01/1995]',-0.096,-0.091,61.454,-0.564,-0.517
'[14:20:13.046 26/01/1995]',-0.094,-0.093,61.454,-0.564,-0.517
'[14:20:13.048 26/01/1995]',-0.093,-0.096,61.153,-0.564,-0.519
'[14:20:13.050 26/01/1995]',-0.092,-0.098,61.153,-0.564,-0.519
'[14:20:13.052 26/01/1995]',-0.091,-0.098,61.153,-0.564,-0.519
'[14:20:13.054 26/01/1995]',-0.090,-0.098,61.153,-0.564,-0.519
'[14:20:13.056 26/01/1995]',-0.089,-0.098,60.852,-0.567,-0.522
'[14:20:13.058 26/01/1995]',-0.087,-0.097,60.852,-0.567,-0.522
'[14:20:13.060 26/01/1995]',-0.084,-0.095,60.852,-0.567,-0.522
'[14:20:13.062 26/01/1995]',-0.081,-0.093,60.852,-0.567,-0.522
'[14:20:13.064 26/01/1995]',-0.078,-0.092,60.501,-0.568,-0.525
'[14:20:13.066 26/01/1995]',-0.075,-0.092,60.501,-0.568,-0.525
'[14:20:13.068 26/01/1995]',-0.071,-0.092,60.501,-0.568,-0.525
'[14:20:13.070 26/01/1995]',-0.068,-0.092,60.501,-0.568,-0.525
'[14:20:13.072 26/01/1995]',-0.067,-0.092,60.201,-0.567,-0.529
'[14:20:13.074 26/01/1995]',-0.065,-0.093,60.201,-0.567,-0.529
'[14:20:13.076 26/01/1995]',-0.066,-0.095,60.201,-0.567,-0.529
'[14:20:13.078 26/01/1995]',-0.066,-0.097,60.201,-0.567,-0.529
'[14:20:13.080 26/01/1995]',-0.067,-0.096,60.000,-0.568,-0.533
'[14:20:13.082 26/01/1995]',-0.067,-0.095,60.000,-0.568,-0.533
'[14:20:13.084 26/01/1995]',-0.067,-0.095,60.000,-0.568,-0.533
'[14:20:13.086 26/01/1995]',-0.067,-0.095,60.000,-0.568,-0.533
'[14:20:13.088 26/01/1995]',-0.067,-0.094,59.850,-0.568,-0.537
'[14:20:13.090 26/01/1995]',-0.066,-0.093,59.850,-0.568,-0.537
'[14:20:13.092 26/01/1995]',-0.065,-0.092,59.850,-0.568,-0.537
'[14:20:13.094 26/01/1995]',-0.063,-0.092,59.850,-0.568,-0.537
'[14:20:13.096 26/01/1995]',-0.061,-0.092,60.050,-0.566,-0.542
'[14:20:13.098 26/01/1995]',-0.058,-0.092,60.050,-0.566,-0.542
'[14:20:13.100 26/01/1995]',-0.056,-0.092,60.050,-0.566,-0.542
'[14:20:13.102 26/01/1995]',-0.053,-0.092,60.050,-0.566,-0.542
'[14:20:13.104 26/01/1995]',-0.050,-0.092,60.852,-0.564,-0.546
'[14:20:13.106 26/01/1995]',-0.047,-0.092,60.852,-0.564,-0.546
'[14:20:13.108 26/01/1995]',-0.044,-0.092,60.852,-0.564,-0.546
'[14:20:13.110 26/01/1995]',-0.041,-0.093,60.852,-0.564,-0.546
'[14:20:13.112 26/01/1995]',-0.037,-0.096,62.707,-0.564,-0.550
'[14:20:13.114 26/01/1995]',-0.034,-0.098,62.707,-0.564,-0.550
'[14:20:13.116 26/01/1995]',-0.031,-0.099,62.707,-0.564,-0.550
'[14:20:13.118 26/01/1995]',-0.028,-0.100,62.707,-0.564,-0.550
'[14:20:13.120 26/01/1995]',-0.026,-0.102,65.664,-0.562,-0.554
'[14:20:13.122 26/01/1995]',-0.025,-0.103,65.664,-0.562,-0.554
'[14:20:13.124 26/01/1995]',-0.024,-0.104,65.664,-0.562,-0.554
'[14:20:13.126 26/01/1995]',-0.024,-0.105,65.664,-0.562,-0.554
'[14:20:13.128 26/01/1995]',-0.024,-0.105,69.975,-0.559,-0.558
'[14:20:13.130 26/01/1995]',-0.024,-0.105,69.975,-0.559,-0.558
'[14:20:13.132 26/01/1995]',-0.023,-0.105,69.975,-0.559,-0.558
'[14:20:13.134 26/01/1995]',-0.022,-0.105,69.975,-0.559,-0.558
'[14:20:13.136 26/01/1995]',-0.021,-0.106,75.188,-0.556,-0.562
'[14:20:13.138 26/01/1995]',-0.020,-0.107,75.188,-0.556,-0.562
'[14:20:13.140 26/01/1995]',-0.019,-0.108,75.188,-0.556,-0.562
'[14:20:13.142 26/01/1995]',-0.017,-0.110,75.188,-0.556,-0.562
'[14:20:13.144 26/01/1995]',-0.015,-0.110,81.153,-0.551,-0.565
'[14:20:13.146 26/01/1995]',-0.013,-0.110,81.153,-0.551,-0.565
'[14:20:13.148 26/01/1995]',-0.011,-0.111,81.153,-0.551,-0.565
'[14:20:13.150 26/01/1995]',-0.010,-0.112,81.153,-0.551,-0.565
'[14:20:13.152 26/01/1995]',-0.008,-0.114,87.318,-0.543,-0.568
'[14:20:13.154 26/01/1995]',-0.006,-0.117,87.318,-0.543,-0.568
'[14:20:13.156 26/01/1995]',-0.003,-0.120,87.318,-0.543,-0.568
'[14:20:13.158 26/01/1995]',0.000,-0.123,87.318,-0.543,-0.568
'[14:20:13.160 26/01/1995]',0.001,-0.127,93.333,-0.534,-0.571
'[14:20:13.162 26/01/1995]',0.003,-0.130,93.333,-0.534,-0.571
'[14:20:13.164 26/01/1995]',0.004,-0.133,93.333,-0.534,-0.571
'[14:20:13.166 26/01/1995]',0.005,-0.137,93.333,-0.534,-0.571
'[14:20:13.168 26/01/1995]',0.005,-0.139,99.048,-0.520,-0.573
'[14:20:13.170 26/01/1995]',0.006,-0.142,99.048,-0.520,-0.573
'[14:20:13.172 26/01/1995]',0.005,-0.145,99.048,-0.520,-0.573
'[14:20:13.174 26/01/1995]',0.004,-0.148,99.048,-0.520,-0.573
'[14:20:13.176 26/01/1995]',0.003,-0.152,104.110,-0.501,-0.576
