'Time and date','II ','V ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mV'
'[08:22:12.000 24/01/1995]',-0.062,0.003,0.537,1.024
'[08:22:12.002 24/01/1995]',-0.062,0.003,0.537,1.024
'[08:22:12.004 24/01/1995]',-0.030,0.003,0.537,1.024
'[08:22:12.006 24/01/1995]',-0.062,0.003,0.537,1.024
'[08:22:12.008 24/01/1995]',-0.062,0.003,0.530,1.024
'[08:22:12.010 24/01/1995]',-0.062,0.003,0.530,1.024
'[08:22:12.012 24/01/1995]',-0.062,0.003,0.530,1.024
'[08:22:12.014 24/01/1995]',-0.062,0.035,0.530,1.024
'[08:22:12.016 24/01/1995]',-0.030,0.035,0.518,1.024
'[08:22:12.018 24/01/1995]',-0.030,0.035,0.518,1.024
'[08:22:12.020 24/01/1995]',-0.030,0.003,0.518,1.024
'[08:22:12.022 24/01/1995]',-0.030,0.003,0.518,1.024
'[08:22:12.024 24/01/1995]',0.003,0.003,0.498,1.024
'[08:22:12.026 24/01/1995]',0.003,0.003,0.498,1.024
'[08:22:12.028 24/01/1995]',0.003,0.003,0.498,1.024
'[08:22:12.030 24/01/1995]',0.003,0.003,0.498,1.024
'[08:22:12.032 24/01/1995]',0.003,0.003,0.473,1.024
'[08:22:12.034 24/01/1995]',0.003,0.003,0.473,1.024
'[08:22:12.036 24/01/1995]',0.003,0.003,0.473,1.024
'[08:22:12.038 24/01/1995]',-0.030,0.003,0.473,1.024
'[08:22:12.040 24/01/1995]',-0.030,0.003,0.448,1.024
'[08:22:12.042 24/01/1995]',-0.062,0.003,0.448,1.024
'[08:22:12.044 24/01/1995]',-0.062,0.003,0.448,1.024
'[08:22:12.046 24/01/1995]',-0.062,0.003,0.448,1.024
'[08:22:12.048 24/01/1995]',-0.030,0.003,0.403,1.024
'[08:22:12.050 24/01/1995]',-0.030,0.003,0.403,1.024
'[08:22:12.052 24/01/1995]',-0.030,0.003,0.403,1.024
'[08:22:12.054 24/01/1995]',-0.030,0.003,0.403,1.024
'[08:22:12.056 24/01/1995]',-0.030,0.003,0.371,1.024
'[08:22:12.058 24/01/1995]',-0.030,0.003,0.371,1.024
'[08:22:12.060 24/01/1995]',-0.062,0.003,0.371,1.024
'[08:22:12.062 24/01/1995]',-0.030,0.003,0.371,1.024
'[08:22:12.064 24/01/1995]',-0.030,0.003,0.339,1.024
'[08:22:12.066 24/01/1995]',-0.030,0.003,0.339,1.024
