'Time and date','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[11:50:32.000 18/05/1995]',-0.043,0.003,118.490,0.340,-0.340
'[11:50:32.002 18/05/1995]',-0.043,0.003,118.490,0.340,-0.340
'[11:50:32.004 18/05/1995]',0.004,0.003,118.490,0.340,-0.340
'[11:50:32.006 18/05/1995]',0.004,0.003,118.490,0.340,-0.340
'[11:50:32.008 18/05/1995]',0.004,0.003,117.483,0.328,-0.347
'[11:50:32.010 18/05/1995]',0.004,0.003,117.483,0.328,-0.347
'[11:50:32.012 18/05/1995]',0.004,0.003,117.483,0.328,-0.347
'[11:50:32.014 18/05/1995]',0.004,0.003,117.483,0.328,-0.347
'[11:50:32.016 18/05/1995]',0.004,0.003,117.081,0.323,-0.355
'[11:50:32.018 18/05/1995]',0.004,0.003,117.081,0.323,-0.355
'[11:50:32.020 18/05/1995]',0.004,0.003,117.081,0.323,-0.355
'[11:50:32.022 18/05/1995]',0.004,0.003,117.081,0.323,-0.355
'[11:50:32.024 18/05/1995]',0.004,0.003,117.081,0.311,-0.363
'[11:50:32.026 18/05/1995]',0.004,0.003,117.081,0.311,-0.363
'[11:50:32.028 18/05/1995]',0.004,0.003,117.081,0.311,-0.363
'[11:50:32.030 18/05/1995]',0.004,0.003,117.081,0.311,-0.363
'[11:50:32.032 18/05/1995]',0.004,0.003,117.081,0.294,-0.372
'[11:50:32.034 18/05/1995]',0.004,0.003,117.081,0.294,-0.372
'[11:50:32.036 18/05/1995]',0.004,0.003,117.081,0.294,-0.372
'[11:50:32.038 18/05/1995]',0.004,0.003,117.081,0.294,-0.372
'[11:50:32.040 18/05/1995]',0.004,0.003,117.081,0.283,-0.381
'[11:50:32.042 18/05/1995]',0.004,0.003,117.081,0.283,-0.381
'[11:50:32.044 18/05/1995]',0.004,0.003,117.081,0.283,-0.381
'[11:50:32.046 18/05/1995]',0.004,0.003,117.081,0.283,-0.381
'[11:50:32.048 18/05/1995]',0.004,0.003,117.081,0.266,-0.390
'[11:50:32.050 18/05/1995]',0.004,0.003,117.081,0.266,-0.390
'[11:50:32.052 18/05/1995]',0.004,0.003,117.081,0.266,-0.390
'[11:50:32.054 18/05/1995]',0.004,0.003,117.081,0.266,-0.390
'[11:50:32.056 18/05/1995]',0.004,0.003,116.779,0.255,-0.399
'[11:50:32.058 18/05/1995]',0.004,0.003,116.779,0.255,-0.399
'[11:50:32.060 18/05/1995]',0.004,0.003,116.779,0.255,-0.399
'[11:50:32.062 18/05/1995]',0.004,0.003,116.779,0.255,-0.399
'[11:50:32.064 18/05/1995]',0.004,0.003,116.275,0.232,-0.408
'[11:50:32.066 18/05/1995]',0.004,0.003,116.275,0.232,-0.408
'[11:50:32.068 18/05/1995]',0.004,0.003,116.275,0.232,-0.408
'[11:50:32.070 18/05/1995]',0.004,0.003,116.275,0.232,-0.408
'[11:50:32.072 18/05/1995]',0.004,0.003,115.571,0.221,-0.417
'[11:50:32.074 18/05/1995]',0.004,0.003,115.571,0.221,-0.417
'[11:50:32.076 18/05/1995]',0.004,0.003,115.571,0.221,-0.417
'[11:50:32.078 18/05/1995]',0.004,0.003,115.571,0.221,-0.417
'[11:50:32.080 18/05/1995]',0.004,0.003,114.564,0.215,-0.427
'[11:50:32.082 18/05/1995]',0.004,0.003,114.564,0.215,-0.427
'[11:50:32.084 18/05/1995]',-0.043,0.003,114.564,0.215,-0.427
'[11:50:32.086 18/05/1995]',0.004,0.003,114.564,0.215,-0.427
'[11:50:32.088 18/05/1995]',0.004,0.003,113.456,0.198,-0.436
'[11:50:32.090 18/05/1995]',0.004,0.003,113.456,0.198,-0.436
'[11:50:32.092 18/05/1995]',0.004,0.003,113.456,0.198,-0.436
'[11:50:32.094 18/05/1995]',0.004,0.003,113.456,0.198,-0.436
'[11:50:32.096 18/05/1995]',0.004,0.003,112.148,0.181,-0.446
'[11:50:32.098 18/05/1995]',0.004,0.003,112.148,0.181,-0.446
'[11:50:32.100 18/05/1995]',0.004,0.003,112.148,0.181,-0.446
'[11:50:32.102 18/05/1995]',0.004,0.003,112.148,0.181,-0.446
'[11:50:32.104 18/05/1995]',0.004,0.003,110.839,0.159,-0.456
'[11:50:32.106 18/05/1995]',0.004,0.003,110.839,0.159,-0.456
'[11:50:32.108 18/05/1995]',0.004,0.003,110.839,0.159,-0.456
'[11:50:32.110 18/05/1995]',0.004,0.003,110.839,0.159,-0.456
'[11:50:32.112 18/05/1995]',0.004,0.003,109.530,0.147,-0.466
'[11:50:32.114 18/05/1995]',0.004,0.003,109.530,0.147,-0.466
'[11:50:32.116 18/05/1995]',-0.043,0.003,109.530,0.147,-0.466
'[11:50:32.118 18/05/1995]',0.004,0.003,109.530,0.147,-0.466
'[11:50:32.120 18/05/1995]',0.004,0.003,108.121,0.131,-0.475
'[11:50:32.122 18/05/1995]',0.004,0.003,108.121,0.131,-0.475
'[11:50:32.124 18/05/1995]',0.004,0.003,108.121,0.131,-0.475
'[11:50:32.126 18/05/1995]',0.004,0.003,108.121,0.131,-0.475
'[11:50:32.128 18/05/1995]',0.004,0.003,106.812,0.107,-0.484
'[11:50:32.130 18/05/1995]',0.004,0.003,106.812,0.107,-0.484
'[11:50:32.132 18/05/1995]',0.004,0.003,106.812,0.107,-0.484
'[11:50:32.134 18/05/1995]',0.004,0.003,106.812,0.107,-0.484
'[11:50:32.136 18/05/1995]',0.004,0.003,105.604,0.097,-0.491
'[11:50:32.138 18/05/1995]',0.004,0.003,105.604,0.097,-0.491
'[11:50:32.140 18/05/1995]',0.004,0.003,105.604,0.097,-0.491
'[11:50:32.142 18/05/1995]',0.004,0.003,105.604,0.097,-0.491
'[11:50:32.144 18/05/1995]',0.004,0.003,104.396,0.080,-0.497
'[11:50:32.146 18/05/1995]',0.004,0.003,104.396,0.080,-0.497
'[11:50:32.148 18/05/1995]',0.004,0.003,104.396,0.080,-0.497
'[11:50:32.150 18/05/1995]',0.004,0.003,104.396,0.080,-0.497
'[11:50:32.152 18/05/1995]',0.004,0.003,103.289,0.057,-0.501
'[11:50:32.154 18/05/1995]',0.004,0.003,103.289,0.057,-0.501
'[11:50:32.156 18/05/1995]',0.004,0.003,103.289,0.057,-0.501
'[11:50:32.158 18/05/1995]',0.004,0.003,103.289,0.057,-0.501
'[11:50:32.160 18/05/1995]',0.004,0.003,102.181,0.045,-0.504
'[11:50:32.162 18/05/1995]',0.004,0.003,102.181,0.045,-0.504
'[11:50:32.164 18/05/1995]',0.004,0.003,102.181,0.045,-0.504
'[11:50:32.166 18/05/1995]',0.004,0.003,102.181,0.045,-0.504
'[11:50:32.168 18/05/1995]',0.004,0.003,100.973,0.034,-0.508
'[11:50:32.170 18/05/1995]',0.004,0.003,100.973,0.034,-0.508
'[11:50:32.172 18/05/1995]',0.004,-0.030,100.973,0.034,-0.508
'[11:50:32.174 18/05/1995]',0.050,-0.030,100.973,0.034,-0.508
'[11:50:32.176 18/05/1995]',0.050,-0.030,99.966,0.023,-0.512
'[11:50:32.178 18/05/1995]',0.050,-0.030,99.966,0.023,-0.512
'[11:50:32.180 18/05/1995]',0.050,-0.030,99.966,0.023,-0.512
'[11:50:32.182 18/05/1995]',0.098,-0.062,99.966,0.023,-0.512
'[11:50:32.184 18/05/1995]',0.098,-0.062,99.060,0.000,-0.516
'[11:50:32.186 18/05/1995]',0.098,-0.062,99.060,0.000,-0.516
'[11:50:32.188 18/05/1995]',0.098,-0.062,99.060,0.000,-0.516
'[11:50:32.190 18/05/1995]',0.146,-0.062,99.060,0.000,-0.516
'[11:50:32.192 18/05/1995]',0.146,-0.062,98.154,-0.011,-0.519
'[11:50:32.194 18/05/1995]',0.146,-0.062,98.154,-0.011,-0.519
'[11:50:32.196 18/05/1995]',0.146,-0.062,98.154,-0.011,-0.519
'[11:50:32.198 18/05/1995]',0.146,-0.062,98.154,-0.011,-0.519
'[11:50:32.200 18/05/1995]',0.146,-0.062,97.349,-0.022,-0.520
'[11:50:32.202 18/05/1995]',0.098,-0.062,97.349,-0.022,-0.520
'[11:50:32.204 18/05/1995]',0.098,-0.062,97.349,-0.022,-0.520
