'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[11:35:23.000 05/05/1995]',-0.086,-0.124,-0.097,101.803,-0.066,-0.249
'[11:35:23.002 05/05/1995]',-0.091,-0.106,-0.097,101.803,-0.066,-0.249
'[11:35:23.004 05/05/1995]',-0.100,-0.106,-0.097,101.803,-0.066,-0.249
'[11:35:23.006 05/05/1995]',-0.110,-0.106,-0.131,101.803,-0.066,-0.249
'[11:35:23.008 05/05/1995]',-0.120,-0.106,-0.131,102.104,-0.124,-0.250
'[11:35:23.010 05/05/1995]',-0.131,-0.106,-0.131,102.104,-0.124,-0.250
'[11:35:23.012 05/05/1995]',-0.136,-0.124,-0.131,102.104,-0.124,-0.250
'[11:35:23.014 05/05/1995]',-0.141,-0.124,-0.097,102.104,-0.124,-0.250
'[11:35:23.016 05/05/1995]',-0.135,-0.106,-0.097,102.554,-0.183,-0.251
'[11:35:23.018 05/05/1995]',-0.128,-0.088,-0.064,102.554,-0.183,-0.251
'[11:35:23.020 05/05/1995]',-0.107,-0.070,-0.030,102.554,-0.183,-0.251
'[11:35:23.022 05/05/1995]',-0.085,-0.052,0.003,102.554,-0.183,-0.251
'[11:35:23.024 05/05/1995]',-0.045,-0.016,0.035,103.080,-0.240,-0.251
'[11:35:23.026 05/05/1995]',-0.004,0.002,0.068,103.080,-0.240,-0.251
'[11:35:23.028 05/05/1995]',0.051,0.019,0.102,103.080,-0.240,-0.251
'[11:35:23.030 05/05/1995]',0.105,0.037,0.169,103.080,-0.240,-0.251
'[11:35:23.032 05/05/1995]',0.162,0.072,0.202,103.681,-0.296,-0.252
'[11:35:23.034 05/05/1995]',0.219,0.126,0.236,103.681,-0.296,-0.252
'[11:35:23.036 05/05/1995]',0.266,0.144,0.269,103.681,-0.296,-0.252
'[11:35:23.038 05/05/1995]',0.313,0.162,0.302,103.681,-0.296,-0.252
'[11:35:23.040 05/05/1995]',0.340,0.162,0.302,104.207,-0.347,-0.253
'[11:35:23.042 05/05/1995]',0.367,0.126,0.302,104.207,-0.347,-0.253
'[11:35:23.044 05/05/1995]',0.371,0.108,0.302,104.207,-0.347,-0.253
'[11:35:23.046 05/05/1995]',0.374,0.072,0.302,104.207,-0.347,-0.253
'[11:35:23.048 05/05/1995]',0.355,0.055,0.236,104.658,-0.393,-0.254
'[11:35:23.050 05/05/1995]',0.336,0.055,0.169,104.658,-0.393,-0.254
'[11:35:23.052 05/05/1995]',0.301,0.002,0.068,104.658,-0.393,-0.254
'[11:35:23.054 05/05/1995]',0.266,-0.142,-0.131,104.658,-0.393,-0.254
'[11:35:23.056 05/05/1995]',0.227,-0.374,-0.365,105.034,-0.433,-0.256
'[11:35:23.058 05/05/1995]',0.188,-0.606,-0.597,105.034,-0.433,-0.256
'[11:35:23.060 05/05/1995]',0.152,-0.731,-0.731,105.034,-0.433,-0.256
'[11:35:23.062 05/05/1995]',0.115,-0.766,-0.731,105.034,-0.433,-0.256
'[11:35:23.064 05/05/1995]',0.085,-0.749,-0.731,105.334,-0.514,-0.258
'[11:35:23.066 05/05/1995]',0.056,-0.695,-0.631,105.334,-0.514,-0.258
'[11:35:23.068 05/05/1995]',0.033,-0.660,-0.597,105.334,-0.514,-0.258
'[11:35:23.070 05/05/1995]',0.011,-0.588,-0.530,105.334,-0.514,-0.258
'[11:35:23.072 05/05/1995]',-0.004,-0.534,-0.465,105.334,-0.542,-0.260
'[11:35:23.074 05/05/1995]',-0.020,-0.481,-0.432,105.334,-0.542,-0.260
'[11:35:23.076 05/05/1995]',-0.033,-0.410,-0.365,105.334,-0.542,-0.260
'[11:35:23.078 05/05/1995]',-0.047,-0.374,-0.298,105.334,-0.542,-0.260
'[11:35:23.080 05/05/1995]',-0.060,-0.302,-0.264,105.334,-0.565,-0.263
'[11:35:23.082 05/05/1995]',-0.074,-0.266,-0.198,105.334,-0.565,-0.263
'[11:35:23.084 05/05/1995]',-0.085,-0.231,-0.198,105.334,-0.565,-0.263
'[11:35:23.086 05/05/1995]',-0.095,-0.195,-0.164,105.334,-0.565,-0.263
'[11:35:23.088 05/05/1995]',-0.102,-0.178,-0.131,105.034,-0.579,-0.265
'[11:35:23.090 05/05/1995]',-0.108,-0.178,-0.131,105.034,-0.579,-0.265
'[11:35:23.092 05/05/1995]',-0.112,-0.160,-0.097,105.034,-0.579,-0.265
'[11:35:23.094 05/05/1995]',-0.115,-0.142,-0.097,105.034,-0.579,-0.265
'[11:35:23.096 05/05/1995]',-0.116,-0.142,-0.097,104.733,-0.587,-0.267
'[11:35:23.098 05/05/1995]',-0.117,-0.124,-0.064,104.733,-0.587,-0.267
'[11:35:23.100 05/05/1995]',-0.118,-0.124,-0.064,104.733,-0.587,-0.267
'[11:35:23.102 05/05/1995]',-0.120,-0.124,-0.064,104.733,-0.587,-0.267
'[11:35:23.104 05/05/1995]',-0.120,-0.124,-0.064,104.207,-0.589,-0.269
'[11:35:23.106 05/05/1995]',-0.121,-0.124,-0.064,104.207,-0.589,-0.269
'[11:35:23.108 05/05/1995]',-0.120,-0.124,-0.064,104.207,-0.589,-0.269
'[11:35:23.110 05/05/1995]',-0.120,-0.124,-0.064,104.207,-0.589,-0.269
'[11:35:23.112 05/05/1995]',-0.120,-0.124,-0.064,103.606,-0.586,-0.271
'[11:35:23.114 05/05/1995]',-0.120,-0.124,-0.064,103.606,-0.586,-0.271
'[11:35:23.116 05/05/1995]',-0.120,-0.106,-0.064,103.606,-0.586,-0.271
'[11:35:23.118 05/05/1995]',-0.120,-0.106,-0.064,103.606,-0.586,-0.271
'[11:35:23.120 05/05/1995]',-0.119,-0.088,-0.064,103.005,-0.579,-0.273
'[11:35:23.122 05/05/1995]',-0.118,-0.106,-0.064,103.005,-0.579,-0.273
'[11:35:23.124 05/05/1995]',-0.116,-0.106,-0.064,103.005,-0.579,-0.273
'[11:35:23.126 05/05/1995]',-0.114,-0.106,-0.064,103.005,-0.579,-0.273
'[11:35:23.128 05/05/1995]',-0.110,-0.088,-0.030,102.329,-0.570,-0.275
'[11:35:23.130 05/05/1995]',-0.107,-0.088,-0.030,102.329,-0.570,-0.275
'[11:35:23.132 05/05/1995]',-0.100,-0.070,-0.030,102.329,-0.570,-0.275
'[11:35:23.134 05/05/1995]',-0.094,-0.070,-0.030,102.329,-0.570,-0.275
'[11:35:23.136 05/05/1995]',-0.090,-0.052,-0.030,101.728,-0.557,-0.278
'[11:35:23.138 05/05/1995]',-0.085,-0.070,-0.030,101.728,-0.557,-0.278
'[11:35:23.140 05/05/1995]',-0.082,-0.070,-0.030,101.728,-0.557,-0.278
'[11:35:23.142 05/05/1995]',-0.078,-0.070,-0.030,101.728,-0.557,-0.278
'[11:35:23.144 05/05/1995]',-0.074,-0.052,-0.030,101.127,-0.546,-0.281
'[11:35:23.146 05/05/1995]',-0.070,-0.052,0.003,101.127,-0.546,-0.281
'[11:35:23.148 05/05/1995]',-0.065,-0.034,0.003,101.127,-0.546,-0.281
'[11:35:23.150 05/05/1995]',-0.061,-0.034,0.003,101.127,-0.546,-0.281
'[11:35:23.152 05/05/1995]',-0.055,-0.016,0.003,100.601,-0.534,-0.285
'[11:35:23.154 05/05/1995]',-0.048,-0.034,0.003,100.601,-0.534,-0.285
