'Time and date','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[12:43:50.000 20/06/1995]',0.001,0.002,66.695,33.475,-0.191,1.024
'[12:43:50.002 20/06/1995]',0.001,0.002,66.695,33.475,-0.191,1.024
'[12:43:50.004 20/06/1995]',0.001,0.002,66.695,33.475,-0.191,1.024
'[12:43:50.006 20/06/1995]',-0.011,0.002,66.695,33.475,-0.191,1.024
'[12:43:50.008 20/06/1995]',0.001,0.002,66.595,31.850,-0.216,1.024
'[12:43:50.010 20/06/1995]',0.001,0.002,66.595,31.850,-0.216,1.024
'[12:43:50.012 20/06/1995]',0.001,0.002,66.595,31.850,-0.216,1.024
'[12:43:50.014 20/06/1995]',0.001,0.002,66.595,31.850,-0.216,1.024
'[12:43:50.016 20/06/1995]',0.001,0.002,66.394,30.600,-0.238,1.024
'[12:43:50.018 20/06/1995]',0.024,0.002,66.394,30.600,-0.238,1.024
'[12:43:50.020 20/06/1995]',0.024,0.002,66.394,30.600,-0.238,1.024
'[12:43:50.022 20/06/1995]',0.036,0.002,66.394,30.600,-0.238,1.024
'[12:43:50.024 20/06/1995]',0.036,0.002,66.293,29.975,-0.259,1.024
'[12:43:50.026 20/06/1995]',0.036,0.002,66.293,29.975,-0.259,1.024
'[12:43:50.028 20/06/1995]',0.036,0.002,66.293,29.975,-0.259,1.024
'[12:43:50.030 20/06/1995]',0.047,0.002,66.293,29.975,-0.259,1.024
'[12:43:50.032 20/06/1995]',0.059,0.002,66.193,29.775,-0.277,1.024
'[12:43:50.034 20/06/1995]',0.059,0.002,66.193,29.775,-0.277,1.024
'[12:43:50.036 20/06/1995]',0.059,0.002,66.193,29.775,-0.277,1.024
'[12:43:50.038 20/06/1995]',0.047,0.002,66.193,29.775,-0.277,1.024
'[12:43:50.040 20/06/1995]',0.047,0.002,65.992,30.025,-0.293,1.024
'[12:43:50.042 20/06/1995]',0.047,0.020,65.992,30.025,-0.293,1.024
'[12:43:50.044 20/06/1995]',0.036,0.020,65.992,30.025,-0.293,1.024
'[12:43:50.046 20/06/1995]',0.047,0.020,65.992,30.025,-0.293,1.024
'[12:43:50.048 20/06/1995]',0.059,0.020,65.892,30.250,-0.307,1.024
'[12:43:50.050 20/06/1995]',0.059,0.002,65.892,30.250,-0.307,1.024
'[12:43:50.052 20/06/1995]',0.071,0.002,65.892,30.250,-0.307,1.024
'[12:43:50.054 20/06/1995]',0.071,0.002,65.892,30.250,-0.307,1.024
