'Time and date','II','I','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[12:36:07.000 20/10/1995]',0.021,0.034,0.001,70.677,0.098,-0.572
'[12:36:07.002 20/10/1995]',0.023,0.023,0.001,70.677,0.098,-0.572
'[12:36:07.004 20/10/1995]',0.023,0.023,0.001,70.677,0.098,-0.572
'[12:36:07.006 20/10/1995]',0.024,0.034,0.001,70.677,0.098,-0.572
'[12:36:07.008 20/10/1995]',0.025,0.034,0.001,70.827,0.072,-0.573
'[12:36:07.010 20/10/1995]',0.026,0.034,0.001,70.827,0.072,-0.573
'[12:36:07.012 20/10/1995]',0.026,0.023,0.001,70.827,0.072,-0.573
'[12:36:07.014 20/10/1995]',0.027,0.034,0.001,70.827,0.072,-0.573
'[12:36:07.016 20/10/1995]',0.027,0.034,0.001,70.752,0.049,-0.574
'[12:36:07.018 20/10/1995]',0.026,0.023,0.001,70.752,0.049,-0.574
'[12:36:07.020 20/10/1995]',0.026,0.023,0.001,70.752,0.049,-0.574
'[12:36:07.022 20/10/1995]',0.025,0.012,0.001,70.752,0.049,-0.574
'[12:36:07.024 20/10/1995]',0.024,0.034,0.001,70.526,0.029,-0.573
'[12:36:07.026 20/10/1995]',0.023,0.034,0.001,70.526,0.029,-0.573
'[12:36:07.028 20/10/1995]',0.023,0.034,0.001,70.526,0.029,-0.573
'[12:36:07.030 20/10/1995]',0.022,0.034,0.001,70.526,0.029,-0.573
'[12:36:07.032 20/10/1995]',0.021,0.034,0.001,70.226,0.015,-0.572
'[12:36:07.034 20/10/1995]',0.021,0.034,0.001,70.226,0.015,-0.572
'[12:36:07.036 20/10/1995]',0.020,0.034,0.001,70.226,0.015,-0.572
'[12:36:07.038 20/10/1995]',0.020,0.034,0.001,70.226,0.015,-0.572
'[12:36:07.040 20/10/1995]',0.019,0.034,0.001,69.699,0.000,-0.569
'[12:36:07.042 20/10/1995]',0.019,0.034,0.001,69.699,0.000,-0.569
'[12:36:07.044 20/10/1995]',0.018,0.034,0.001,69.699,0.000,-0.569
'[12:36:07.046 20/10/1995]',0.018,0.034,0.001,69.699,0.000,-0.569
'[12:36:07.048 20/10/1995]',0.017,0.034,0.001,69.098,-0.009,-0.566
'[12:36:07.050 20/10/1995]',0.017,0.034,0.001,69.098,-0.009,-0.566
'[12:36:07.052 20/10/1995]',0.016,0.023,0.001,69.098,-0.009,-0.566
'[12:36:07.054 20/10/1995]',0.016,0.023,0.001,69.098,-0.009,-0.566
'[12:36:07.056 20/10/1995]',0.015,0.023,0.001,68.346,-0.017,-0.562
'[12:36:07.058 20/10/1995]',0.014,0.012,0.001,68.346,-0.017,-0.562
'[12:36:07.060 20/10/1995]',0.013,0.012,0.001,68.346,-0.017,-0.562
'[12:36:07.062 20/10/1995]',0.012,0.012,0.001,68.346,-0.017,-0.562
'[12:36:07.064 20/10/1995]',0.011,0.012,0.001,67.669,-0.025,-0.559
'[12:36:07.066 20/10/1995]',0.011,0.012,0.001,67.669,-0.025,-0.559
'[12:36:07.068 20/10/1995]',0.009,0.001,0.001,67.669,-0.025,-0.559
'[12:36:07.070 20/10/1995]',0.008,0.001,0.001,67.669,-0.025,-0.559
'[12:36:07.072 20/10/1995]',0.008,0.001,-0.014,66.992,-0.034,-0.557
'[12:36:07.074 20/10/1995]',0.007,0.001,-0.014,66.992,-0.034,-0.557
'[12:36:07.076 20/10/1995]',0.006,0.001,-0.014,66.992,-0.034,-0.557
'[12:36:07.078 20/10/1995]',0.006,0.001,-0.014,66.992,-0.034,-0.557
'[12:36:07.080 20/10/1995]',0.005,0.001,-0.014,66.241,-0.038,-0.554
'[12:36:07.082 20/10/1995]',0.005,0.001,-0.014,66.241,-0.038,-0.554
'[12:36:07.084 20/10/1995]',0.005,0.001,-0.014,66.241,-0.038,-0.554
