'Time and date','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[08:34:07.000 16/05/1995]',-0.061,0.001,133.753,47.339,0.304,-0.438
'[08:34:07.002 16/05/1995]',-0.061,0.001,133.753,47.339,0.304,-0.438
'[08:34:07.004 16/05/1995]',-0.040,0.001,133.753,47.339,0.304,-0.438
'[08:34:07.006 16/05/1995]',-0.040,0.001,133.753,47.339,0.304,-0.438
'[08:34:07.008 16/05/1995]',-0.061,0.001,128.539,46.814,0.304,-0.436
'[08:34:07.010 16/05/1995]',-0.061,0.001,128.539,46.814,0.304,-0.436
'[08:34:07.012 16/05/1995]',-0.061,0.001,128.539,46.814,0.304,-0.436
'[08:34:07.014 16/05/1995]',-0.061,0.001,128.539,46.814,0.304,-0.436
'[08:34:07.016 16/05/1995]',-0.061,0.001,122.947,46.113,0.292,-0.435
'[08:34:07.018 16/05/1995]',-0.061,0.001,122.947,46.113,0.292,-0.435
'[08:34:07.020 16/05/1995]',-0.061,0.001,122.947,46.113,0.292,-0.435
'[08:34:07.022 16/05/1995]',-0.061,0.001,122.947,46.113,0.292,-0.435
'[08:34:07.024 16/05/1995]',-0.061,0.001,117.507,45.163,0.292,-0.434
'[08:34:07.026 16/05/1995]',-0.061,0.011,117.507,45.163,0.292,-0.434
'[08:34:07.028 16/05/1995]',-0.061,0.011,117.507,45.163,0.292,-0.434
'[08:34:07.030 16/05/1995]',-0.061,0.011,117.507,45.163,0.292,-0.434
'[08:34:07.032 16/05/1995]',-0.061,0.011,112.444,43.987,0.256,-0.433
'[08:34:07.034 16/05/1995]',-0.061,0.011,112.444,43.987,0.256,-0.433
'[08:34:07.036 16/05/1995]',-0.061,0.011,112.444,43.987,0.256,-0.433
'[08:34:07.038 16/05/1995]',-0.061,0.021,112.444,43.987,0.256,-0.433
'[08:34:07.040 16/05/1995]',-0.061,0.021,108.061,42.711,0.243,-0.432
'[08:34:07.042 16/05/1995]',-0.061,0.021,108.061,42.711,0.243,-0.432
'[08:34:07.044 16/05/1995]',-0.061,0.021,108.061,42.711,0.243,-0.432
'[08:34:07.046 16/05/1995]',-0.061,0.021,108.061,42.711,0.243,-0.432
'[08:34:07.048 16/05/1995]',-0.082,0.011,104.509,41.284,0.232,-0.431
'[08:34:07.050 16/05/1995]',-0.061,0.011,104.509,41.284,0.232,-0.431
'[08:34:07.052 16/05/1995]',-0.061,0.011,104.509,41.284,0.232,-0.431
