'Time and date','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[07:00:28.000 31/05/1995]',0.002,0.002,97.820,-0.358,-0.519
'[07:00:28.002 31/05/1995]',0.002,0.002,97.820,-0.358,-0.519
'[07:00:28.004 31/05/1995]',0.002,0.002,97.820,-0.358,-0.519
'[07:00:28.006 31/05/1995]',0.002,0.002,97.820,-0.358,-0.519
'[07:00:28.008 31/05/1995]',-0.023,0.002,97.519,-0.349,-0.520
'[07:00:28.010 31/05/1995]',-0.023,0.002,97.519,-0.349,-0.520
'[07:00:28.012 31/05/1995]',-0.048,0.002,97.519,-0.349,-0.520
'[07:00:28.014 31/05/1995]',-0.048,0.022,97.519,-0.349,-0.520
'[07:00:28.016 31/05/1995]',-0.048,0.002,97.068,-0.339,-0.521
'[07:00:28.018 31/05/1995]',-0.048,0.002,97.068,-0.339,-0.521
'[07:00:28.020 31/05/1995]',-0.073,0.002,97.068,-0.339,-0.521
'[07:00:28.022 31/05/1995]',-0.073,0.002,97.068,-0.339,-0.521
'[07:00:28.024 31/05/1995]',-0.098,0.002,96.391,-0.325,-0.522
'[07:00:28.026 31/05/1995]',-0.098,0.002,96.391,-0.325,-0.522
'[07:00:28.028 31/05/1995]',-0.098,0.022,96.391,-0.325,-0.522
'[07:00:28.030 31/05/1995]',-0.098,0.022,96.391,-0.325,-0.522
'[07:00:28.032 31/05/1995]',-0.122,0.022,95.639,-0.311,-0.522
'[07:00:28.034 31/05/1995]',-0.122,0.022,95.639,-0.311,-0.522
'[07:00:28.036 31/05/1995]',-0.122,0.022,95.639,-0.311,-0.522
'[07:00:28.038 31/05/1995]',-0.122,0.002,95.639,-0.311,-0.522
'[07:00:28.040 31/05/1995]',-0.122,0.002,94.737,-0.296,-0.522
'[07:00:28.042 31/05/1995]',-0.147,0.002,94.737,-0.296,-0.522
'[07:00:28.044 31/05/1995]',-0.122,0.022,94.737,-0.296,-0.522
'[07:00:28.046 31/05/1995]',-0.122,0.022,94.737,-0.296,-0.522
'[07:00:28.048 31/05/1995]',-0.122,0.022,93.835,-0.283,-0.522
'[07:00:28.050 31/05/1995]',-0.122,0.022,93.835,-0.283,-0.522
'[07:00:28.052 31/05/1995]',-0.122,0.002,93.835,-0.283,-0.522
'[07:00:28.054 31/05/1995]',-0.122,0.002,93.835,-0.283,-0.522
'[07:00:28.056 31/05/1995]',-0.122,0.002,92.782,-0.272,-0.521
'[07:00:28.058 31/05/1995]',-0.122,0.002,92.782,-0.272,-0.521
'[07:00:28.060 31/05/1995]',-0.122,0.022,92.782,-0.272,-0.521
'[07:00:28.062 31/05/1995]',-0.122,0.022,92.782,-0.272,-0.521
'[07:00:28.064 31/05/1995]',-0.122,0.022,91.805,-0.264,-0.520
'[07:00:28.066 31/05/1995]',-0.122,0.022,91.805,-0.264,-0.520
'[07:00:28.068 31/05/1995]',-0.098,0.002,91.805,-0.264,-0.520
'[07:00:28.070 31/05/1995]',-0.098,0.002,91.805,-0.264,-0.520
'[07:00:28.072 31/05/1995]',-0.098,0.022,90.752,-0.259,-0.518
'[07:00:28.074 31/05/1995]',-0.098,0.044,90.752,-0.259,-0.518
'[07:00:28.076 31/05/1995]',-0.122,0.087,90.752,-0.259,-0.518
'[07:00:28.078 31/05/1995]',-0.122,0.108,90.752,-0.259,-0.518
'[07:00:28.080 31/05/1995]',-0.122,0.130,89.774,-0.257,-0.517
'[07:00:28.082 31/05/1995]',-0.122,0.151,89.774,-0.257,-0.517
'[07:00:28.084 31/05/1995]',-0.122,0.151,89.774,-0.257,-0.517
'[07:00:28.086 31/05/1995]',-0.098,0.151,89.774,-0.257,-0.517
'[07:00:28.088 31/05/1995]',-0.073,0.130,88.872,-0.258,-0.515
'[07:00:28.090 31/05/1995]',-0.023,0.108,88.872,-0.258,-0.515
'[07:00:28.092 31/05/1995]',0.002,0.087,88.872,-0.258,-0.515
'[07:00:28.094 31/05/1995]',0.076,0.087,88.872,-0.258,-0.515
'[07:00:28.096 31/05/1995]',0.176,0.087,88.045,-0.269,-0.514
'[07:00:28.098 31/05/1995]',0.325,0.002,88.045,-0.269,-0.514
'[07:00:28.100 31/05/1995]',0.474,-0.105,88.045,-0.269,-0.514
'[07:00:28.102 31/05/1995]',0.673,-0.277,88.045,-0.269,-0.514
'[07:00:28.104 31/05/1995]',0.872,-0.427,87.218,-0.277,-0.512
'[07:00:28.106 31/05/1995]',1.095,-0.577,87.218,-0.277,-0.512
'[07:00:28.108 31/05/1995]',1.220,-0.684,87.218,-0.277,-0.512
'[07:00:28.110 31/05/1995]',1.170,-0.727,87.218,-0.277,-0.512
'[07:00:28.112 31/05/1995]',0.972,-0.705,86.391,-0.285,-0.510
'[07:00:28.114 31/05/1995]',0.599,-0.619,86.391,-0.285,-0.510
'[07:00:28.116 31/05/1995]',0.201,-0.513,86.391,-0.285,-0.510
'[07:00:28.118 31/05/1995]',-0.048,-0.427,86.391,-0.285,-0.510
'[07:00:28.120 31/05/1995]',-0.247,-0.362,85.564,-0.296,-0.507
'[07:00:28.122 31/05/1995]',-0.421,-0.299,85.564,-0.296,-0.507
'[07:00:28.124 31/05/1995]',-0.520,-0.277,85.564,-0.296,-0.507
'[07:00:28.126 31/05/1995]',-0.570,-0.277,85.564,-0.296,-0.507
'[07:00:28.128 31/05/1995]',-0.595,-0.256,84.812,-0.308,-0.505
'[07:00:28.130 31/05/1995]',-0.570,-0.213,84.812,-0.308,-0.505
'[07:00:28.132 31/05/1995]',-0.495,-0.191,84.812,-0.308,-0.505
'[07:00:28.134 31/05/1995]',-0.421,-0.148,84.812,-0.308,-0.505
'[07:00:28.136 31/05/1995]',-0.371,-0.105,84.211,-0.322,-0.503
'[07:00:28.138 31/05/1995]',-0.297,-0.062,84.211,-0.322,-0.503
'[07:00:28.140 31/05/1995]',-0.247,-0.041,84.211,-0.322,-0.503
'[07:00:28.142 31/05/1995]',-0.197,0.002,84.211,-0.322,-0.503
'[07:00:28.144 31/05/1995]',-0.172,0.002,83.609,-0.336,-0.501
'[07:00:28.146 31/05/1995]',-0.147,0.022,83.609,-0.336,-0.501
'[07:00:28.148 31/05/1995]',-0.147,0.022,83.609,-0.336,-0.501
'[07:00:28.150 31/05/1995]',-0.122,0.044,83.609,-0.336,-0.501
'[07:00:28.152 31/05/1995]',-0.122,0.044,83.008,-0.350,-0.500
'[07:00:28.154 31/05/1995]',-0.098,0.044,83.008,-0.350,-0.500
'[07:00:28.156 31/05/1995]',-0.098,0.044,83.008,-0.350,-0.500
'[07:00:28.158 31/05/1995]',-0.098,0.044,83.008,-0.350,-0.500
'[07:00:28.160 31/05/1995]',-0.098,0.065,82.556,-0.365,-0.499
'[07:00:28.162 31/05/1995]',-0.098,0.065,82.556,-0.365,-0.499
'[07:00:28.164 31/05/1995]',-0.098,0.065,82.556,-0.365,-0.499
'[07:00:28.166 31/05/1995]',-0.098,0.065,82.556,-0.365,-0.499
'[07:00:28.168 31/05/1995]',-0.073,0.065,82.105,-0.381,-0.498
'[07:00:28.170 31/05/1995]',-0.073,0.065,82.105,-0.381,-0.498
'[07:00:28.172 31/05/1995]',-0.073,0.065,82.105,-0.381,-0.498
'[07:00:28.174 31/05/1995]',-0.073,0.065,82.105,-0.381,-0.498
'[07:00:28.176 31/05/1995]',-0.073,0.065,81.579,-0.395,-0.497
'[07:00:28.178 31/05/1995]',-0.073,0.065,81.579,-0.395,-0.497
'[07:00:28.180 31/05/1995]',-0.073,0.065,81.579,-0.395,-0.497
'[07:00:28.182 31/05/1995]',-0.073,0.065,81.579,-0.395,-0.497
'[07:00:28.184 31/05/1995]',-0.073,0.065,81.278,-0.410,-0.497
'[07:00:28.186 31/05/1995]',-0.073,0.065,81.278,-0.410,-0.497
'[07:00:28.188 31/05/1995]',-0.073,0.044,81.278,-0.410,-0.497
'[07:00:28.190 31/05/1995]',-0.048,0.065,81.278,-0.410,-0.497
'[07:00:28.192 31/05/1995]',-0.073,0.065,80.902,-0.424,-0.497
'[07:00:28.194 31/05/1995]',-0.073,0.065,80.902,-0.424,-0.497
'[07:00:28.196 31/05/1995]',-0.073,0.065,80.902,-0.424,-0.497
'[07:00:28.198 31/05/1995]',-0.048,0.087,80.902,-0.424,-0.497
'[07:00:28.200 31/05/1995]',-0.048,0.065,80.526,-0.437,-0.497
