'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[18:13:50.000 19/11/1995]',-0.416,-0.138,0.127,72.050,0.000,-0.254
'[18:13:50.002 19/11/1995]',-0.447,-0.138,0.127,72.050,0.000,-0.254
'[18:13:50.004 19/11/1995]',-0.478,-0.144,0.158,72.050,0.000,-0.254
'[18:13:50.006 19/11/1995]',-0.503,-0.144,0.158,72.050,0.000,-0.254
'[18:13:50.008 19/11/1995]',-0.515,-0.144,0.158,71.050,0.000,-0.251
'[18:13:50.010 19/11/1995]',-0.546,-0.162,0.158,71.050,0.000,-0.251
'[18:13:50.012 19/11/1995]',-0.571,-0.179,0.158,71.050,0.000,-0.251
'[18:13:50.014 19/11/1995]',-0.577,-0.185,0.158,71.050,0.000,-0.251
'[18:13:50.016 19/11/1995]',-,-0.197,0.190,70.150,0.000,-0.247
'[18:13:50.018 19/11/1995]',-,-0.197,0.190,70.150,0.000,-0.247
'[18:13:50.020 19/11/1995]',-,-0.185,0.190,70.150,0.000,-0.247
'[18:13:50.022 19/11/1995]',-,-0.179,0.221,70.150,0.000,-0.247
'[18:13:50.024 19/11/1995]',-,-0.168,0.190,69.400,0.000,-0.243
'[18:13:50.026 19/11/1995]',-,-0.179,0.190,69.400,0.000,-0.243
'[18:13:50.028 19/11/1995]',-,-0.168,0.221,69.400,0.000,-0.243
'[18:13:50.030 19/11/1995]',-,-0.179,0.190,69.400,0.000,-0.243
'[18:13:50.032 19/11/1995]',-,-0.179,0.190,68.700,0.000,-0.240
'[18:13:50.034 19/11/1995]',-,-0.179,0.190,68.700,0.000,-0.240
'[18:13:50.036 19/11/1995]',-,-0.168,0.190,68.700,0.000,-0.240
'[18:13:50.038 19/11/1995]',-0.559,-0.156,0.190,68.700,0.000,-0.240
'[18:13:50.040 19/11/1995]',-0.515,-0.138,0.158,68.050,0.000,-0.237
'[18:13:50.042 19/11/1995]',-0.484,-0.120,0.158,68.050,0.000,-0.237
'[18:13:50.044 19/11/1995]',-0.447,-0.101,0.158,68.050,0.000,-0.237
'[18:13:50.046 19/11/1995]',-0.416,-0.095,0.127,68.050,0.000,-0.237
'[18:13:50.048 19/11/1995]',-0.378,-0.095,0.127,67.400,0.000,-0.235
'[18:13:50.050 19/11/1995]',-0.348,-0.089,0.127,67.400,0.000,-0.235
'[18:13:50.052 19/11/1995]',-0.304,-0.089,0.096,67.400,0.000,-0.235
'[18:13:50.054 19/11/1995]',-0.261,-0.072,0.096,67.400,0.000,-0.235
'[18:13:50.056 19/11/1995]',-0.217,-0.066,0.064,66.850,0.000,-0.234
'[18:13:50.058 19/11/1995]',-0.205,-0.036,0.064,66.850,0.000,-0.234
'[18:13:50.060 19/11/1995]',-0.186,-0.036,0.064,66.850,0.000,-0.234
'[18:13:50.062 19/11/1995]',-0.167,-0.030,0.064,66.850,0.000,-0.234
'[18:13:50.064 19/11/1995]',-0.149,-0.024,0.064,66.350,0.000,-0.233
'[18:13:50.066 19/11/1995]',-0.124,-0.005,0.064,66.350,0.000,-0.233
'[18:13:50.068 19/11/1995]',-0.099,0.006,0.033,66.350,0.000,-0.233
'[18:13:50.070 19/11/1995]',-0.080,0.012,0.033,66.350,0.000,-0.233
'[18:13:50.072 19/11/1995]',-0.068,0.030,0.033,65.900,0.000,-0.232
'[18:13:50.074 19/11/1995]',-0.049,0.048,0.033,65.900,0.000,-0.232
'[18:13:50.076 19/11/1995]',-0.031,0.036,0.033,65.900,0.000,-0.232
'[18:13:50.078 19/11/1995]',-0.031,0.048,0.033,65.900,0.000,-0.232
'[18:13:50.080 19/11/1995]',-0.012,0.048,0.033,65.400,0.000,-0.230
'[18:13:50.082 19/11/1995]',-0.006,0.054,0.033,65.400,0.000,-0.230
'[18:13:50.084 19/11/1995]',0.001,0.066,0.033,65.400,0.000,-0.230
'[18:13:50.086 19/11/1995]',0.007,0.072,0.033,65.400,0.000,-0.230
'[18:13:50.088 19/11/1995]',0.013,0.090,0.033,65.000,0.000,-0.229
'[18:13:50.090 19/11/1995]',0.013,0.096,0.033,65.000,0.000,-0.229
'[18:13:50.092 19/11/1995]',0.025,0.102,0.033,65.000,0.000,-0.229
'[18:13:50.094 19/11/1995]',0.031,0.114,0.033,65.000,0.000,-0.229
'[18:13:50.096 19/11/1995]',0.031,0.114,0.033,64.600,0.000,-0.227
'[18:13:50.098 19/11/1995]',0.038,0.114,0.033,64.600,0.000,-0.227
'[18:13:50.100 19/11/1995]',0.050,0.120,0.003,64.600,0.000,-0.227
'[18:13:50.102 19/11/1995]',0.056,0.132,0.033,64.600,0.000,-0.227
'[18:13:50.104 19/11/1995]',0.069,0.138,0.033,64.250,0.000,-0.226
'[18:13:50.106 19/11/1995]',0.075,0.144,0.003,64.250,0.000,-0.226
'[18:13:50.108 19/11/1995]',0.081,0.138,0.003,64.250,0.000,-0.226
'[18:13:50.110 19/11/1995]',0.093,0.144,0.003,64.250,0.000,-0.226
'[18:13:50.112 19/11/1995]',0.100,0.132,0.003,63.950,0.000,-0.226
'[18:13:50.114 19/11/1995]',0.118,0.120,0.003,63.950,0.000,-0.226
'[18:13:50.116 19/11/1995]',0.125,0.102,0.003,63.950,0.000,-0.226
'[18:13:50.118 19/11/1995]',0.143,0.096,-0.029,63.950,0.000,-0.226
'[18:13:50.120 19/11/1995]',0.162,0.096,0.003,63.600,0.000,-0.226
