'Time and date','II ','V ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[14:34:08.000 26/01/1995]',-0.028,0.031,77.629,0.227,-0.504
'[14:34:08.002 26/01/1995]',-0.056,0.038,77.629,0.227,-0.504
'[14:34:08.004 26/01/1995]',-0.071,0.038,77.629,0.227,-0.504
'[14:34:08.006 26/01/1995]',-0.085,0.046,77.629,0.227,-0.504
'[14:34:08.008 26/01/1995]',-0.085,0.061,77.028,0.195,-0.503
'[14:34:08.010 26/01/1995]',-0.100,0.061,77.028,0.195,-0.503
'[14:34:08.012 26/01/1995]',-0.100,0.061,77.028,0.195,-0.503
'[14:34:08.014 26/01/1995]',-0.100,0.061,77.028,0.195,-0.503
'[14:34:08.016 26/01/1995]',-0.114,0.054,76.427,0.168,-0.501
'[14:34:08.018 26/01/1995]',-0.114,0.061,76.427,0.168,-0.501
'[14:34:08.020 26/01/1995]',-0.114,0.061,76.427,0.168,-0.501
'[14:34:08.022 26/01/1995]',-0.114,0.061,76.427,0.168,-0.501
'[14:34:08.024 26/01/1995]',-0.100,0.054,75.826,0.138,-0.500
'[14:34:08.026 26/01/1995]',-0.100,0.046,75.826,0.138,-0.500
'[14:34:08.028 26/01/1995]',-0.085,0.054,75.826,0.138,-0.500
'[14:34:08.030 26/01/1995]',-0.100,0.054,75.826,0.138,-0.500
'[14:34:08.032 26/01/1995]',-0.100,0.054,75.125,0.108,-0.498
'[14:34:08.034 26/01/1995]',-0.100,0.046,75.125,0.108,-0.498
'[14:34:08.036 26/01/1995]',-0.100,0.054,75.125,0.108,-0.498
'[14:34:08.038 26/01/1995]',-0.100,0.054,75.125,0.108,-0.498
'[14:34:08.040 26/01/1995]',-0.100,0.061,74.524,0.081,-0.497
'[14:34:08.042 26/01/1995]',-0.100,0.054,74.524,0.081,-0.497
'[14:34:08.044 26/01/1995]',-0.100,0.054,74.524,0.081,-0.497
'[14:34:08.046 26/01/1995]',-0.085,0.054,74.524,0.081,-0.497
'[14:34:08.048 26/01/1995]',-0.100,0.054,74.023,0.051,-0.495
'[14:34:08.050 26/01/1995]',-0.100,0.054,74.023,0.051,-0.495
'[14:34:08.052 26/01/1995]',-0.100,0.054,74.023,0.051,-0.495
'[14:34:08.054 26/01/1995]',-0.085,0.054,74.023,0.051,-0.495
