'Time and date','V','II','ABP','PAP','ART','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mV'
'[09:13:35.000 01/06/1995]',-0.030,0.073,106.089,17.050,100.251,0.000,-0.148
'[09:13:35.002 01/06/1995]',-0.036,0.073,106.089,17.050,100.251,0.000,-0.148
'[09:13:35.004 01/06/1995]',-0.030,0.073,106.089,17.050,100.251,0.000,-0.148
'[09:13:35.006 01/06/1995]',-0.030,0.073,106.089,17.050,100.251,0.000,-0.148
'[09:13:35.008 01/06/1995]',-0.036,0.073,104.838,17.337,102.965,0.000,-0.149
'[09:13:35.010 01/06/1995]',-0.048,0.073,104.838,17.337,102.965,0.000,-0.149
'[09:13:35.012 01/06/1995]',-0.036,0.097,104.838,17.337,102.965,0.000,-0.149
'[09:13:35.014 01/06/1995]',-0.036,0.097,104.838,17.337,102.965,0.000,-0.149
'[09:13:35.016 01/06/1995]',-0.030,0.073,103.086,17.750,102.362,0.000,-0.149
'[09:13:35.018 01/06/1995]',-0.030,0.073,103.086,17.750,102.362,0.000,-0.149
'[09:13:35.020 01/06/1995]',-0.030,0.073,103.086,17.750,102.362,0.000,-0.149
'[09:13:35.022 01/06/1995]',-0.036,0.073,103.086,17.750,102.362,0.000,-0.149
'[09:13:35.024 01/06/1995]',-0.048,0.073,100.984,18.163,98.970,0.000,-0.149
'[09:13:35.026 01/06/1995]',-0.048,0.073,100.984,18.163,98.970,0.000,-0.149
'[09:13:35.028 01/06/1995]',-0.048,0.097,100.984,18.163,98.970,0.000,-0.149
'[09:13:35.030 01/06/1995]',-0.048,0.073,100.984,18.163,98.970,0.000,-0.149
'[09:13:35.032 01/06/1995]',-0.036,0.073,98.682,18.450,94.673,0.000,-0.149
'[09:13:35.034 01/06/1995]',-0.036,0.073,98.682,18.450,94.673,0.000,-0.149
'[09:13:35.036 01/06/1995]',-0.036,0.049,98.682,18.450,94.673,0.000,-0.149
'[09:13:35.038 01/06/1995]',-0.036,0.073,98.682,18.450,94.673,0.000,-0.149
'[09:13:35.040 01/06/1995]',-0.048,0.073,96.330,18.512,91.733,0.000,-0.149
'[09:13:35.042 01/06/1995]',-0.054,0.073,96.330,18.512,91.733,0.000,-0.149
'[09:13:35.044 01/06/1995]',-0.054,0.097,96.330,18.512,91.733,0.000,-0.149
'[09:13:35.046 01/06/1995]',-0.054,0.097,96.330,18.512,91.733,0.000,-0.149
'[09:13:35.048 01/06/1995]',-0.048,0.097,94.029,18.212,90.754,0.000,-0.149
'[09:13:35.050 01/06/1995]',-0.048,0.097,94.029,18.212,90.754,0.000,-0.149
'[09:13:35.052 01/06/1995]',-0.048,0.097,94.029,18.212,90.754,0.000,-0.149
'[09:13:35.054 01/06/1995]',-0.054,0.097,94.029,18.212,90.754,0.000,-0.149
'[09:13:35.056 01/06/1995]',-0.054,0.121,91.927,17.688,91.281,0.000,-0.149
'[09:13:35.058 01/06/1995]',-0.072,0.145,91.927,17.688,91.281,0.000,-0.149
'[09:13:35.060 01/06/1995]',-0.072,0.169,91.927,17.688,91.281,0.000,-0.149
'[09:13:35.062 01/06/1995]',-0.072,0.169,91.927,17.688,91.281,0.000,-0.149
'[09:13:35.064 01/06/1995]',-0.072,0.169,89.925,17.100,92.110,0.000,-0.149
'[09:13:35.066 01/06/1995]',-0.066,0.145,89.925,17.100,92.110,0.000,-0.149
'[09:13:35.068 01/06/1995]',-0.066,0.145,89.925,17.100,92.110,0.000,-0.149
'[09:13:35.070 01/06/1995]',-0.072,0.145,89.925,17.100,92.110,0.000,-0.149
'[09:13:35.072 01/06/1995]',-0.078,0.145,88.074,16.575,92.487,0.000,-0.148
'[09:13:35.074 01/06/1995]',-0.072,0.145,88.074,16.575,92.487,0.000,-0.148
'[09:13:35.076 01/06/1995]',-0.072,0.145,88.074,16.575,92.487,0.000,-0.148
'[09:13:35.078 01/06/1995]',-0.072,0.145,88.074,16.575,92.487,0.000,-0.148
'[09:13:35.080 01/06/1995]',-0.054,0.145,86.372,16.288,92.035,0.000,-0.148
'[09:13:35.082 01/06/1995]',-0.054,0.121,86.372,16.288,92.035,0.000,-0.148
'[09:13:35.084 01/06/1995]',-0.048,0.097,86.372,16.288,92.035,0.000,-0.148
'[09:13:35.086 01/06/1995]',-0.048,0.097,86.372,16.288,92.035,0.000,-0.148
'[09:13:35.088 01/06/1995]',-0.048,0.097,84.821,16.225,90.754,0.000,-0.147
'[09:13:35.090 01/06/1995]',-0.054,0.097,84.821,16.225,90.754,0.000,-0.147
'[09:13:35.092 01/06/1995]',-0.054,0.097,84.821,16.225,90.754,0.000,-0.147
'[09:13:35.094 01/06/1995]',-0.048,0.097,84.821,16.225,90.754,0.000,-0.147
'[09:13:35.096 01/06/1995]',-0.036,0.097,83.370,16.288,89.397,0.000,-0.146
'[09:13:35.098 01/06/1995]',-0.036,0.073,83.370,16.288,89.397,0.000,-0.146
'[09:13:35.100 01/06/1995]',-0.030,0.073,83.370,16.288,89.397,0.000,-0.146
'[09:13:35.102 01/06/1995]',-0.030,0.073,83.370,16.288,89.397,0.000,-0.146
'[09:13:35.104 01/06/1995]',-0.024,0.073,82.018,16.575,88.718,0.000,-0.145
'[09:13:35.106 01/06/1995]',-0.030,0.073,82.018,16.575,88.718,0.000,-0.145
'[09:13:35.108 01/06/1995]',-0.036,0.073,82.018,16.575,88.718,0.000,-0.145
'[09:13:35.110 01/06/1995]',-0.036,0.073,82.018,16.575,88.718,0.000,-0.145
'[09:13:35.112 01/06/1995]',-0.030,0.073,80.717,16.875,88.718,0.000,-0.144
'[09:13:35.114 01/06/1995]',-0.024,0.049,80.717,16.875,88.718,0.000,-0.144
'[09:13:35.116 01/06/1995]',-0.011,0.025,80.717,16.875,88.718,0.000,-0.144
'[09:13:35.118 01/06/1995]',-0.011,0.025,80.717,16.875,88.718,0.000,-0.144
'[09:13:35.120 01/06/1995]',-0.011,0.002,79.616,17.100,88.643,0.000,-0.144
'[09:13:35.122 01/06/1995]',-0.024,0.002,79.616,17.100,88.643,0.000,-0.144
'[09:13:35.124 01/06/1995]',-0.024,0.002,79.616,17.100,88.643,0.000,-0.144
'[09:13:35.126 01/06/1995]',-0.024,0.025,79.616,17.100,88.643,0.000,-0.144
'[09:13:35.128 01/06/1995]',-0.011,0.025,78.516,16.925,88.040,0.000,-0.143
'[09:13:35.130 01/06/1995]',-0.005,0.002,78.516,16.925,88.040,0.000,-0.143
'[09:13:35.132 01/06/1995]',0.001,0.002,78.516,16.925,88.040,0.000,-0.143
'[09:13:35.134 01/06/1995]',0.001,0.002,78.516,16.925,88.040,0.000,-0.143
'[09:13:35.136 01/06/1995]',0.001,0.002,77.565,16.400,87.060,0.000,-0.143
'[09:13:35.138 01/06/1995]',0.001,0.002,77.565,16.400,87.060,0.000,-0.143
'[09:13:35.140 01/06/1995]',-0.005,0.002,77.565,16.400,87.060,0.000,-0.143
'[09:13:35.142 01/06/1995]',-0.005,0.002,77.565,16.400,87.060,0.000,-0.143
'[09:13:35.144 01/06/1995]',-0.005,0.002,76.764,15.575,86.382,0.000,-0.143
'[09:13:35.146 01/06/1995]',-0.005,0.002,76.764,15.575,86.382,0.000,-0.143
'[09:13:35.148 01/06/1995]',0.001,0.002,76.764,15.575,86.382,0.000,-0.143
'[09:13:35.150 01/06/1995]',0.006,0.002,76.764,15.575,86.382,0.000,-0.143
'[09:13:35.152 01/06/1995]',0.006,0.002,76.064,14.812,86.156,0.000,-0.143
'[09:13:35.154 01/06/1995]',0.006,0.002,76.064,14.812,86.156,0.000,-0.143
'[09:13:35.156 01/06/1995]',0.006,0.002,76.064,14.812,86.156,0.000,-0.143
'[09:13:35.158 01/06/1995]',0.001,0.002,76.064,14.812,86.156,0.000,-0.143
'[09:13:35.160 01/06/1995]',0.001,0.002,75.463,14.350,86.005,0.000,-0.143
'[09:13:35.162 01/06/1995]',0.001,0.002,75.463,14.350,86.005,0.000,-0.143
'[09:13:35.164 01/06/1995]',0.001,0.002,75.463,14.350,86.005,0.000,-0.143
'[09:13:35.166 01/06/1995]',0.006,0.002,75.463,14.350,86.005,0.000,-0.143
'[09:13:35.168 01/06/1995]',0.006,0.002,75.013,14.463,85.628,0.000,-0.143
'[09:13:35.170 01/06/1995]',0.001,0.002,75.013,14.463,85.628,0.000,-0.143
'[09:13:35.172 01/06/1995]',0.001,0.002,75.013,14.463,85.628,0.000,-0.143
'[09:13:35.174 01/06/1995]',-0.005,0.002,75.013,14.463,85.628,0.000,-0.143
'[09:13:35.176 01/06/1995]',-0.005,0.002,74.612,15.225,84.799,0.000,-0.144
'[09:13:35.178 01/06/1995]',-0.005,0.002,74.612,15.225,84.799,0.000,-0.144
'[09:13:35.180 01/06/1995]',-0.005,0.002,74.612,15.225,84.799,0.000,-0.144
'[09:13:35.182 01/06/1995]',0.001,0.002,74.612,15.225,84.799,0.000,-0.144
