t0,b0,t1,b1,sec
0.264,/,0.492,/,0.756
0.756,/,0.825,/,1.581
1.581,/,0.875,/,2.456
2.456,/,0.894,/,3.350
3.350,/,0.869,/,4.219
4.219,/,0.836,/,5.056
5.056,/,0.828,/,5.883
5.883,/,0.822,/,6.706
6.706,/,0.853,/,7.558
7.558,/,0.867,/,8.425
8.425,/,0.872,/,9.297
9.297,/,0.872,/,10.169
10.169,/,0.861,/,11.031
11.031,/,0.822,/,11.853
11.853,/,0.814,/,12.667
12.667,/,0.833,/,13.500
13.500,/,0.861,/,14.361
14.361,/,0.889,/,15.250
15.250,/,0.872,/,16.122
16.122,/,0.847,/,16.969
16.969,/,0.828,/,17.797
17.797,/,0.847,/,18.644
18.644,/,0.836,/,19.481
19.481,/,0.847,/,20.328
20.328,/,0.875,/,21.203
21.203,/,0.869,/,22.072
22.072,/,0.856,/,22.928
22.928,/,0.825,/,23.753
23.753,/,0.817,/,24.569
24.569,/,0.825,/,25.394
25.394,/,0.889,/,26.283
26.283,/,0.886,/,27.169
27.169,/,0.858,/,28.028
28.028,/,0.856,/,28.883
28.883,/,0.822,/,29.706
29.706,/,0.833,/,30.539
30.539,/,0.836,/,31.375
31.375,/,0.858,/,32.233
32.233,/,0.872,/,33.106
33.106,/,0.894,/,34.000
34.000,/,0.850,/,34.850
34.850,/,0.814,/,35.664
35.664,/,0.822,/,36.486
36.486,/,0.822,/,37.308
37.308,/,0.878,/,38.186
38.186,/,0.892,/,39.078
39.078,/,0.875,/,39.953
39.953,/,0.847,/,40.800
40.800,/,0.842,/,41.642
41.642,/,0.825,/,42.467
42.467,/,0.819,/,43.286
43.286,/,0.850,/,44.136
44.136,/,0.878,/,45.014
45.014,/,0.881,/,45.894
45.894,/,0.867,/,46.761
46.761,/,0.817,/,47.578
47.578,/,0.814,/,48.392
48.392,/,0.850,/,49.242
49.242,/,0.867,/,50.108
50.108,/,0.875,/,50.983
50.983,/,0.872,/,51.856
51.856,/,0.853,/,52.708
52.708,/,0.836,/,53.544
53.544,/,0.833,/,54.378
54.378,/,0.822,/,55.200
55.200,/,0.836,/,56.036
56.036,/,0.892,/,56.928
56.928,/,0.886,/,57.814
57.814,/,0.853,/,58.667
58.667,/,0.825,/,59.492
59.492,/,0.828,/,60.319
60.319,/,0.831,/,61.150
61.150,/,0.872,/,62.022
62.022,/,0.875,/,62.897
62.897,/,0.869,/,63.767
63.767,/,0.864,/,64.631
64.631,/,0.844,/,65.475
65.475,/,0.822,/,66.297
66.297,/,0.817,/,67.114
67.114,/,0.847,/,67.961
67.961,/,0.869,/,68.831
68.831,/,0.894,/,69.725
69.725,/,0.861,/,70.586
70.586,/,0.831,/,71.417
71.417,/,0.819,/,72.236
72.236,/,0.858,/,73.094
73.094,/,0.853,/,73.947
73.947,/,0.858,/,74.806
74.806,/,0.875,/,75.681
75.681,/,0.856,/,76.536
76.536,/,0.836,/,77.372
77.372,/,0.828,/,78.200
78.200,/,0.828,/,79.028
79.028,/,0.836,/,79.864
79.864,/,0.900,/,80.764
80.764,/,0.878,/,81.642
81.642,/,0.853,/,82.494
82.494,/,0.839,/,83.333
83.333,/,0.819,/,84.153
84.153,/,0.839,/,84.992
84.992,/,0.861,/,85.853
85.853,/,0.867,/,86.719
86.719,/,0.864,/,87.583
87.583,/,0.883,/,88.467
88.467,/,0.731,V,89.197
89.197,V,0.808,/,90.006
90.006,/,0.817,/,90.822
90.822,/,0.844,/,91.667
91.667,/,0.875,/,92.542
92.542,/,0.894,/,93.436
93.436,/,0.867,/,94.303
94.303,/,0.833,/,95.136
95.136,/,0.828,/,95.964
95.964,/,0.842,/,96.806
96.806,/,0.844,/,97.650
97.650,/,0.856,/,98.506
98.506,/,0.878,/,99.383
99.383,/,0.869,/,100.253
100.253,/,0.853,/,101.106
101.106,/,0.817,/,101.922
101.922,/,0.814,/,102.736
102.736,/,0.844,/,103.581
103.581,/,0.897,/,104.478
104.478,/,0.883,/,105.361
105.361,/,0.861,/,106.222
106.222,/,0.847,/,107.069
107.069,/,0.814,/,107.883
107.883,/,0.831,/,108.714
108.714,/,0.833,/,109.547
109.547,/,0.861,/,110.408
110.408,/,0.881,/,111.289
111.289,/,0.894,/,112.183
112.183,/,0.842,/,113.025
113.025,/,0.814,/,113.839
113.839,/,0.819,/,114.658
114.658,/,0.836,/,115.494
115.494,/,0.883,/,116.378
116.378,/,0.886,/,117.264
117.264,/,0.869,/,118.133
118.133,/,0.842,/,118.975
118.975,/,0.842,/,119.817
119.817,/,0.822,/,120.639
120.639,/,0.822,/,121.461
121.461,/,0.861,/,122.322
122.322,/,0.875,/,123.197
123.197,/,0.881,/,124.078
124.078,/,0.856,/,124.933
124.933,/,0.825,/,125.758
125.758,/,0.817,/,126.575
126.575,/,0.861,/,127.436
127.436,/,0.872,/,128.308
128.308,/,0.864,/,129.172
129.172,/,0.861,/,130.033
130.033,/,0.844,/,130.878
130.878,/,0.833,/,131.711
131.711,/,0.828,/,132.539
132.539,/,0.831,/,133.369
133.369,/,0.853,/,134.222
134.222,/,0.906,/,135.128
135.128,/,0.869,/,135.997
135.997,/,0.836,/,136.833
136.833,/,0.831,/,137.664
137.664,/,0.822,/,138.486
138.486,/,0.842,/,139.328
139.328,/,0.872,/,140.200
140.200,/,0.875,/,141.075
141.075,/,0.864,/,141.939
141.939,/,0.872,/,142.811
142.811,/,0.822,/,143.633
143.633,/,0.814,/,144.447
144.447,/,0.825,/,145.272
145.272,/,0.853,/,146.125
146.125,/,0.892,/,147.017
147.017,/,0.894,/,147.911
147.911,/,0.850,/,148.761
148.761,/,0.814,/,149.575
149.575,/,0.842,/,150.417
150.417,/,0.836,/,151.253
151.253,/,0.856,/,152.108
152.108,/,0.867,/,152.975
152.975,/,0.875,/,153.850
153.850,/,0.858,/,154.708
154.708,/,0.842,/,155.550
155.550,/,0.814,/,156.364
156.364,/,0.814,/,157.178
157.178,/,0.869,/,158.047
158.047,/,0.894,/,158.942
158.942,/,0.878,/,159.819
159.819,/,0.847,/,160.667
160.667,/,0.836,/,161.503
161.503,/,0.822,/,162.325
162.325,/,0.839,/,163.164
163.164,/,0.850,/,164.014
164.014,/,0.861,/,164.875
164.875,/,0.886,/,165.761
165.761,/,0.872,/,166.633
166.633,/,0.825,/,167.458
167.458,/,0.811,/,168.269
168.269,/,0.831,/,169.100
169.100,/,0.850,/,169.950
169.950,/,0.892,/,170.842
170.842,/,0.878,/,171.719
171.719,/,0.861,/,172.581
172.581,/,0.831,/,173.411
173.411,/,0.842,/,174.253
174.253,/,0.831,/,175.083
175.083,/,0.833,/,175.917
175.917,/,0.872,/,176.789
176.789,/,0.872,/,177.661
177.661,/,0.869,/,178.531
178.531,/,0.839,/,179.369
179.369,/,0.819,/,180.189
180.189,/,0.819,/,181.008
181.008,/,0.875,/,181.883
181.883,/,0.883,/,182.767
182.767,/,0.864,/,183.631
183.631,/,0.861,/,184.492
184.492,/,0.831,/,185.322
185.322,/,0.825,/,186.147
186.147,/,0.839,/,186.986
186.986,/,0.847,/,187.833
187.833,/,0.856,/,188.689
