t0,b0,t1,b1,sec
0.161,L,0.800,L,0.961
0.961,L,0.872,L,1.833
1.833,L,0.875,L,2.708
2.708,L,0.875,L,3.583
3.583,L,0.881,L,4.464
4.464,L,0.828,L,5.292
5.292,L,0.639,V,5.931
5.931,V,0.956,L,6.886
6.886,L,0.772,L,7.658
7.658,L,0.878,L,8.536
8.536,L,0.450,V,8.986
8.986,V,1.275,L,10.261
10.261,L,0.772,L,11.033
11.033,L,0.719,L,11.753
11.753,L,0.731,L,12.483
12.483,L,0.758,L,13.242
13.242,L,0.764,L,14.006
14.006,L,0.775,L,14.781
14.781,L,0.881,L,15.661
15.661,L,0.894,L,16.556
16.556,L,0.747,L,17.303
17.303,L,0.722,L,18.025
18.025,L,0.728,L,18.753
18.753,L,0.781,L,19.533
19.533,L,0.817,L,20.350
20.350,L,0.819,L,21.169
21.169,L,0.803,L,21.972
21.972,L,0.833,L,22.806
22.806,L,0.767,L,23.572
23.572,L,0.714,L,24.286
24.286,L,0.747,L,25.033
25.033,L,0.781,L,25.814
25.814,L,0.825,L,26.639
26.639,L,0.861,L,27.500
27.500,L,0.825,L,28.325
28.325,L,0.767,L,29.092
29.092,L,0.772,L,29.864
29.864,L,0.742,L,30.606
30.606,L,0.753,L,31.358
31.358,L,0.783,L,32.142
32.142,L,0.814,L,32.956
32.956,L,0.842,L,33.797
33.797,L,0.825,L,34.622
34.622,L,0.561,V,35.183
35.183,V,0.939,L,36.122
36.122,L,0.747,L,36.869
36.869,L,0.786,L,37.656
37.656,L,0.786,L,38.442
38.442,L,0.808,L,39.250
39.250,L,0.825,L,40.075
40.075,L,0.797,L,40.872
40.872,L,0.775,L,41.647
41.647,L,0.750,L,42.397
42.397,L,0.736,L,43.133
43.133,L,0.817,L,43.950
43.950,L,0.856,L,44.806
44.806,L,0.844,L,45.650
45.650,L,0.825,L,46.475
46.475,L,0.769,L,47.244
47.244,L,0.750,L,47.994
47.994,L,0.731,L,48.725
48.725,L,0.747,L,49.472
49.472,L,0.764,L,50.236
50.236,L,0.847,L,51.083
51.083,L,0.847,L,51.931
51.931,L,0.814,L,52.744
52.744,L,0.783,L,53.528
53.528,L,0.756,L,54.283
54.283,L,0.792,L,55.075
55.075,L,0.806,L,55.881
55.881,L,0.811,L,56.692
56.692,L,0.825,L,57.517
57.517,L,0.853,L,58.369
58.369,L,0.764,L,59.133
59.133,L,0.722,L,59.856
59.856,L,0.725,L,60.581
60.581,L,0.747,L,61.328
61.328,L,0.819,L,62.147
62.147,L,0.850,L,62.997
62.997,L,0.828,L,63.825
63.825,L,0.783,L,64.608
64.608,L,0.764,L,65.372
65.372,L,0.717,L,66.089
66.089,L,0.700,L,66.789
66.789,L,0.744,L,67.533
67.533,L,0.775,L,68.308
68.308,L,0.850,L,69.158
69.158,L,1.011,L,70.169
70.169,L,0.786,L,70.956
70.956,L,0.731,L,71.686
71.686,L,0.758,L,72.444
72.444,L,0.742,L,73.186
73.186,L,0.750,L,73.936
73.936,L,0.786,L,74.722
74.722,L,0.811,L,75.533
75.533,L,0.844,L,76.378
76.378,L,0.783,L,77.161
77.161,L,0.714,L,77.875
77.875,L,0.433,V,78.308
78.308,V,1.061,L,79.369
79.369,L,0.792,L,80.161
80.161,L,0.614,V,80.775
80.775,V,0.992,L,81.767
81.767,L,0.772,L,82.539
82.539,L,0.422,V,82.961
82.961,V,1.022,L,83.983
83.983,L,0.678,L,84.661
84.661,L,0.464,V,85.125
85.125,V,0.994,L,86.119
86.119,L,0.800,L,86.919
86.919,L,0.542,V,87.461
87.461,V,0.994,L,88.456
88.456,L,0.694,L,89.150
89.150,L,0.661,L,89.811
89.811,L,0.653,L,90.464
90.464,L,0.683,L,91.147
91.147,L,0.708,L,91.856
91.856,L,0.722,L,92.578
92.578,L,0.583,V,93.161
93.161,V,1.164,L,94.325
94.325,L,0.725,L,95.050
95.050,L,0.725,L,95.775
95.775,L,0.728,L,96.503
96.503,L,0.778,L,97.281
97.281,L,0.786,L,98.067
98.067,L,0.806,L,98.872
98.872,L,0.786,L,99.658
99.658,L,0.817,L,100.475
100.475,L,0.778,L,101.253
101.253,L,0.733,L,101.986
101.986,L,0.719,L,102.706
102.706,L,0.731,L,103.436
103.436,L,0.794,L,104.231
104.231,L,0.803,L,105.033
105.033,L,0.783,L,105.817
105.817,L,0.739,L,106.556
106.556,L,0.742,L,107.297
107.297,L,0.692,L,107.989
107.989,L,0.692,L,108.681
108.681,L,0.711,L,109.392
109.392,L,0.747,L,110.139
110.139,L,0.794,L,110.933
110.933,L,0.861,L,111.794
111.794,L,0.422,V,112.217
112.217,V,1.156,L,113.372
113.372,L,0.747,L,114.119
114.119,L,0.775,L,114.894
114.894,L,0.783,L,115.678
115.678,L,0.786,L,116.464
116.464,L,0.853,L,117.317
117.317,L,0.428,V,117.744
117.744,V,1.325,L,119.069
119.069,L,0.761,L,119.831
119.831,L,0.750,L,120.581
120.581,L,0.833,L,121.414
121.414,L,0.825,L,122.239
122.239,L,0.850,L,123.089
123.089,L,0.864,L,123.953
123.953,L,0.431,V,124.383
124.383,V,1.211,L,125.594
125.594,L,0.750,L,126.344
126.344,L,0.764,L,127.108
127.108,L,0.383,V,127.492
127.492,V,1.317,L,128.808
128.808,L,0.861,L,129.669
129.669,L,0.847,L,130.517
130.517,L,0.406,V,130.922
130.922,V,1.119,L,132.042
132.042,L,0.753,L,132.794
132.794,L,0.769,L,133.564
133.564,L,0.783,L,134.347
134.347,L,0.811,L,135.158
135.158,L,0.878,L,136.036
136.036,L,0.781,L,136.817
136.817,L,0.706,L,137.522
137.522,L,0.681,L,138.203
138.203,L,0.731,L,138.933
138.933,L,0.753,L,139.686
139.686,L,0.817,L,140.503
140.503,L,0.833,L,141.336
141.336,L,0.822,L,142.158
142.158,L,0.819,L,142.978
142.978,L,0.394,V,143.372
143.372,V,1.103,L,144.475
144.475,L,0.728,L,145.203
145.203,L,0.733,L,145.936
145.936,L,0.803,L,146.739
146.739,L,0.800,L,147.539
147.539,L,0.550,V,148.089
148.089,V,0.986,L,149.075
149.075,L,0.719,L,149.794
149.794,L,0.722,L,150.517
150.517,L,0.700,L,151.217
151.217,L,0.747,L,151.964
151.964,L,0.783,L,152.747
152.747,L,0.811,L,153.558
153.558,L,0.836,L,154.394
154.394,L,0.797,L,155.192
155.192,L,0.361,V,155.553
155.553,V,1.211,L,156.764
156.764,L,0.797,L,157.561
157.561,L,0.572,V,158.133
158.133,V,1.150,L,159.283
159.283,L,0.831,L,160.114
160.114,L,0.822,L,160.936
160.936,L,0.442,V,161.378
161.378,V,0.411,V,161.789
161.789,V,1.261,L,163.050
163.050,L,0.811,L,163.861
163.861,L,0.817,L,164.678
164.678,L,0.792,L,165.469
165.469,L,0.797,L,166.267
166.267,L,0.750,L,167.017
167.017,L,0.736,L,167.753
167.753,L,0.739,L,168.492
168.492,L,0.481,V,168.972
168.972,V,1.128,L,170.100
170.100,L,0.856,L,170.956
170.956,L,0.881,L,171.836
171.836,L,0.658,V,172.494
172.494,V,0.983,L,173.478
173.478,L,0.747,L,174.225
174.225,L,0.564,V,174.789
174.789,V,1.033,L,175.822
175.822,L,0.786,L,176.608
176.608,L,0.864,L,177.472
177.472,L,0.872,L,178.344
178.344,L,0.792,L,179.136
179.136,L,0.764,L,179.900
179.900,L,0.756,L,180.656
180.656,L,0.814,L,181.469
181.469,L,0.853,L,182.322
182.322,L,0.872,L,183.194
183.194,L,0.906,L,184.100
184.100,L,0.878,L,184.978
184.978,L,0.792,L,185.769
185.769,L,0.764,L,186.533
186.533,L,0.783,L,187.317
187.317,L,0.411,V,187.728
187.728,V,1.328,L,189.056
189.056,L,0.847,L,189.903
189.903,L,0.803,L,190.706
