t0,b0,t1,b1,sec
0.833,N,0.872,N,1.706
1.706,N,0.758,N,2.464
2.464,N,0.886,N,3.350
3.350,N,0.586,N,3.936
3.936,N,0.808,N,4.744
4.744,N,0.600,N,5.344
5.344,N,0.786,N,6.131
6.131,N,0.753,N,6.883
6.883,N,0.683,N,7.567
7.567,N,0.797,N,8.364
8.364,N,0.608,N,8.972
8.972,N,0.631,N,9.603
9.603,N,1.131,N,10.733
10.733,N,1.147,N,11.881
11.881,N,0.842,N,12.722
12.722,N,0.897,N,13.619
13.619,N,0.839,N,14.458
14.458,N,1.017,N,15.475
15.475,N,0.767,N,16.242
16.242,N,0.589,N,16.831
16.831,N,0.822,N,17.653
17.653,N,0.922,N,18.575
18.575,N,1.197,N,19.772
19.772,N,0.747,N,20.519
20.519,N,1.147,N,21.667
21.667,N,1.144,N,22.811
22.811,N,0.656,N,23.467
23.467,N,0.783,N,24.250
24.250,N,0.722,N,24.972
24.972,N,0.683,N,25.656
25.656,N,0.850,N,26.506
26.506,N,0.944,N,27.450
27.450,N,0.981,N,28.431
28.431,N,0.825,N,29.256
29.256,N,0.719,N,29.975
29.975,N,0.644,N,30.619
30.619,N,0.706,N,31.325
31.325,N,0.739,N,32.064
32.064,N,0.733,N,32.797
32.797,N,0.944,N,33.742
33.742,N,0.558,N,34.300
34.300,N,0.994,N,35.294
35.294,N,0.853,N,36.147
36.147,N,0.839,N,36.986
36.986,N,0.811,N,37.797
37.797,N,0.711,V,38.508
38.508,V,0.772,N,39.281
39.281,N,0.761,N,40.042
40.042,N,0.631,N,40.672
40.672,N,0.889,N,41.561
41.561,N,0.744,N,42.306
42.306,N,0.967,N,43.272
43.272,N,0.742,N,44.014
44.014,N,0.689,N,44.703
44.703,N,0.747,N,45.450
45.450,N,0.708,N,46.158
46.158,N,0.761,N,46.919
46.919,N,0.844,N,47.764
47.764,N,0.761,N,48.525
48.525,N,0.781,N,49.306
49.306,N,0.672,N,49.978
49.978,N,0.828,N,50.806
50.806,N,0.769,N,51.575
51.575,N,0.625,N,52.200
52.200,N,1.056,N,53.256
53.256,N,0.792,N,54.047
54.047,N,1.022,N,55.069
55.069,N,0.569,N,55.639
55.639,N,0.694,N,56.333
56.333,N,1.036,N,57.369
57.369,N,0.811,N,58.181
58.181,N,0.647,N,58.828
58.828,N,1.164,N,59.992
59.992,N,0.678,N,60.669
60.669,N,0.575,N,61.244
61.244,N,0.697,N,61.942
61.942,N,0.689,N,62.631
62.631,N,0.817,N,63.447
63.447,N,0.592,N,64.039
64.039,N,0.828,N,64.867
64.867,N,0.778,N,65.644
65.644,N,0.686,N,66.331
66.331,N,0.975,N,67.306
67.306,N,0.569,V,67.875
67.875,V,0.869,N,68.744
68.744,N,0.742,N,69.486
69.486,N,0.819,N,70.306
70.306,N,0.569,N,70.875
70.875,N,0.878,N,71.753
71.753,N,0.750,N,72.503
72.503,N,0.942,N,73.444
73.444,N,0.589,N,74.033
74.033,N,0.808,N,74.842
74.842,N,0.639,N,75.481
75.481,N,0.839,N,76.319
76.319,N,0.608,V,76.928
76.928,V,0.814,N,77.742
77.742,N,0.883,N,78.625
78.625,N,0.586,V,79.211
79.211,V,0.742,N,79.953
79.953,N,0.842,N,80.794
80.794,N,0.742,N,81.536
81.536,N,0.675,N,82.211
82.211,N,0.686,N,82.897
82.897,N,0.583,N,83.481
83.481,N,0.903,N,84.383
84.383,N,0.825,N,85.208
85.208,N,0.811,N,86.019
