t0,b0,t1,b1,sec
0.189,R,0.836,R,1.025
1.025,R,0.847,R,1.872
1.872,R,0.850,R,2.722
2.722,R,0.844,R,3.567
3.567,R,0.842,R,4.408
4.408,R,0.811,R,5.219
5.219,R,0.822,R,6.042
6.042,R,0.833,R,6.875
6.875,R,0.808,R,7.683
7.683,R,0.800,R,8.483
8.483,R,0.861,R,9.344
9.344,R,0.861,R,10.206
10.206,R,0.844,R,11.050
11.050,R,0.844,R,11.894
11.894,R,0.828,R,12.722
12.722,R,0.842,R,13.564
13.564,R,0.800,R,14.364
14.364,R,0.814,R,15.178
15.178,R,0.828,R,16.006
16.006,R,0.819,R,16.825
16.825,R,0.817,R,17.642
17.642,R,0.814,R,18.456
18.456,R,0.792,R,19.247
19.247,R,0.794,R,20.042
20.042,R,0.808,R,20.850
20.850,R,0.797,R,21.647
21.647,R,0.803,R,22.450
22.450,R,0.822,R,23.272
23.272,R,0.794,R,24.067
24.067,R,0.839,R,24.906
24.906,R,0.833,R,25.739
25.739,R,0.831,R,26.569
26.569,R,0.861,R,27.431
27.431,R,0.842,R,28.272
28.272,R,0.839,R,29.111
29.111,R,0.858,R,29.969
29.969,R,0.714,V,30.683
30.683,V,0.936,R,31.619
31.619,R,0.844,R,32.464
32.464,R,0.844,R,33.308
33.308,R,0.842,R,34.150
34.150,R,0.836,R,34.986
34.986,R,0.842,R,35.828
35.828,R,0.836,R,36.664
36.664,R,0.828,R,37.492
37.492,R,0.814,R,38.306
38.306,R,0.781,R,39.086
39.086,R,0.800,R,39.886
39.886,R,0.775,R,40.661
40.661,R,0.772,R,41.433
41.433,R,0.814,R,42.247
42.247,R,0.800,R,43.047
43.047,R,0.811,R,43.858
43.858,R,0.836,R,44.694
44.694,R,0.842,R,45.536
45.536,R,0.856,R,46.392
46.392,R,0.847,R,47.239
47.239,R,0.853,R,48.092
48.092,R,0.858,R,48.950
48.950,R,0.864,R,49.814
49.814,R,0.861,R,50.675
50.675,R,0.847,R,51.522
51.522,R,0.850,R,52.372
52.372,R,0.842,R,53.214
53.214,R,0.839,R,54.053
54.053,R,0.839,R,54.892
54.892,R,0.817,R,55.708
55.708,R,0.847,R,56.556
56.556,R,0.819,R,57.375
57.375,R,0.839,R,58.214
58.214,R,0.861,R,59.075
59.075,R,0.831,R,59.906
59.906,R,0.839,R,60.744
60.744,R,0.856,R,61.600
61.600,R,0.828,R,62.428
62.428,R,0.842,R,63.269
63.269,R,0.831,R,64.100
64.100,R,0.825,R,64.925
64.925,R,0.817,R,65.742
65.742,R,0.836,R,66.578
66.578,R,0.844,R,67.422
67.422,R,0.817,R,68.239
68.239,R,0.825,R,69.064
69.064,R,0.850,R,69.914
69.914,R,0.844,R,70.758
70.758,R,0.839,R,71.597
71.597,R,0.842,R,72.439
72.439,R,0.825,R,73.264
73.264,R,0.831,R,74.094
74.094,R,0.839,R,74.933
74.933,R,0.839,R,75.772
75.772,R,0.825,R,76.597
