t0,b0,t1,b1,sec
1.364,R,0.683,A,2.047
2.047,A,0.731,A,2.778
2.778,A,1.831,R,4.608
4.608,R,0.678,A,5.286
5.286,A,0.703,A,5.989
5.989,A,1.869,R,7.858
7.858,R,0.658,A,8.517
8.517,A,1.669,R,10.186
10.186,R,0.672,A,10.858
10.858,A,1.672,R,12.531
12.531,R,0.667,A,13.197
13.197,A,1.639,R,14.836
14.836,R,0.675,A,15.511
15.511,A,0.753,A,16.264
16.264,A,1.742,R,18.006
18.006,R,0.664,A,18.669
18.669,A,0.725,A,19.394
19.394,A,0.694,A,20.089
20.089,A,0.725,A,20.814
20.814,A,0.725,A,21.539
21.539,A,0.692,A,22.231
22.231,A,0.700,A,22.931
22.931,A,1.906,R,24.836
24.836,R,2.636,R,27.472
27.472,R,1.125,R,28.597
28.597,R,0.681,A,29.278
29.278,A,0.711,A,29.989
29.989,A,1.850,R,31.839
31.839,R,0.672,A,32.511
32.511,A,0.750,A,33.261
33.261,A,0.731,A,33.992
33.992,A,0.708,A,34.700
34.700,A,0.708,A,35.408
35.408,A,0.711,A,36.119
36.119,A,0.725,A,36.844
36.844,A,0.728,A,37.572
37.572,A,0.739,A,38.311
38.311,A,0.739,A,39.050
39.050,A,0.722,A,39.772
39.772,A,2.775,R,42.547
42.547,R,1.139,R,43.686
43.686,R,0.664,A,44.350
44.350,A,0.719,A,45.069
45.069,A,1.925,R,46.994
46.994,R,0.678,A,47.672
47.672,A,0.722,A,48.394
48.394,A,0.728,A,49.122
49.122,A,1.997,R,51.119
51.119,R,1.358,R,52.478
52.478,R,0.661,A,53.139
53.139,A,0.725,A,53.864
53.864,A,0.722,A,54.586
54.586,A,0.706,A,55.292
55.292,A,0.728,A,56.019
56.019,A,2.669,R,58.689
58.689,R,1.200,R,59.889
59.889,R,0.681,A,60.569
60.569,A,0.725,A,61.294
61.294,A,1.833,R,63.128
63.128,R,0.664,A,63.792
63.792,A,0.736,A,64.528
64.528,A,1.825,R,66.353
66.353,R,0.664,A,67.017
67.017,A,0.717,A,67.733
67.733,A,0.711,A,68.444
68.444,A,1.978,R,70.422
70.422,R,2.078,R,72.500
72.500,R,1.972,R,74.472
74.472,R,0.664,A,75.136
75.136,A,0.714,A,75.850
75.850,A,0.703,A,76.553
76.553,A,0.728,A,77.281
77.281,A,0.725,A,78.006
78.006,A,0.708,A,78.714
78.714,A,0.706,A,79.419
79.419,A,0.722,A,80.142
80.142,A,0.731,A,80.872
80.872,A,0.722,A,81.594
81.594,A,1.764,R,83.358
83.358,R,0.689,A,84.047
84.047,A,0.728,A,84.775
84.775,A,0.722,A,85.497
85.497,A,1.431,R,86.928
86.928,R,0.669,A,87.597
87.597,A,0.719,A,88.317
88.317,A,1.900,R,90.217
90.217,R,0.694,A,90.911
90.911,A,0.736,A,91.647
91.647,A,0.719,A,92.367
92.367,A,0.719,A,93.086
93.086,A,0.717,A,93.803
93.803,A,1.489,R,95.292
95.292,R,0.697,A,95.989
95.989,A,0.747,A,96.736
96.736,A,1.906,R,98.642
98.642,R,0.664,A,99.306
99.306,A,0.750,A,100.056
100.056,A,0.733,A,100.789
100.789,A,1.908,R,102.697
102.697,R,0.667,A,103.364
103.364,A,0.764,A,104.128
104.128,A,1.964,R,106.092
106.092,R,0.675,A,106.767
106.767,A,0.736,A,107.503
107.503,A,0.722,A,108.225
108.225,A,1.961,R,110.186
110.186,R,0.672,A,110.858
110.858,A,0.717,A,111.575
111.575,A,1.961,R,113.536
113.536,R,0.700,A,114.236
114.236,A,0.717,A,114.953
114.953,A,1.903,R,116.856
116.856,R,0.683,A,117.539
117.539,A,0.731,A,118.269
118.269,A,1.867,R,120.136
120.136,R,0.686,A,120.822
120.822,A,0.750,A,121.572
121.572,A,1.875,R,123.447
123.447,R,0.675,A,124.122
124.122,A,0.725,A,124.847
124.847,A,0.706,A,125.553
125.553,A,0.725,A,126.278
126.278,A,0.717,A,126.994
126.994,A,1.878,R,128.872
128.872,R,0.681,A,129.553
129.553,A,0.747,A,130.300
130.300,A,0.742,A,131.042
131.042,A,0.733,A,131.775
131.775,A,0.717,A,132.492
132.492,A,0.717,A,133.208
133.208,A,0.719,A,133.928
